method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc
attention_full,attention_full_1500k,1500000,eval_flow_id,linear,low,347,0.10951008645533142,0.11815561959654179,4.40689465236214,1.4169602594688127
attention_full,attention_full_1500k,1500000,eval_flow_id,linear,medium,356,0.3848314606741573,0.40168539325842695,3.094707142083423,1.727196260619276
attention_full,attention_full_1500k,1500000,eval_flow_id,sinusoidal_lateral,high,516,0.2751937984496124,0.29651162790697677,3.527390566260361,1.7608577706035229
attention_full,attention_full_1500k,1500000,eval_flow_id,sinusoidal_lateral,low,357,0.15126050420168066,0.17086834733893558,3.768029208052434,1.7482402238510837
attention_full,attention_full_1500k,1500000,eval_flow_id,sinusoidal_lateral,medium,476,0.35084033613445376,0.37815126050420167,3.292984761237294,1.6469888593019981
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,accel_decel,high,628,0.23885350318471338,0.2627388535031847,3.1321398386128165,1.8233173994703171
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,accel_decel,low,167,0.2754491017964072,0.2994011976047904,3.2470682238724953,1.644509943463331
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,accel_decel,medium,543,0.30755064456721914,0.35911602209944754,3.0170394398455773,1.606725679327104
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,ar1_velocity,high,664,0.40963855421686746,0.4457831325301205,2.4613551889027345,2.0516316798982728
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,ar1_velocity,low,236,0.3559322033898305,0.4067796610169492,2.442111433343197,1.6183805264492497
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,ar1_velocity,medium,546,0.23992673992673993,0.26556776556776557,3.1457915153280207,1.6286804167643882
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,crossing_or_sudden_threat,high,400,0.2925,0.3425,2.90829606969186,1.6795348158591492
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,crossing_or_sudden_threat,low,179,0.22346368715083798,0.2346368715083799,2.8592129340135184,1.5713405661520554
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,crossing_or_sudden_threat,medium,367,0.28065395095367845,0.3215258855585831,2.7943007278215517,1.9292071951535121
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,linear,high,179,0.3854748603351955,0.44692737430167595,2.8255599822495236,1.941172343152632
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,linear,low,34,0.5,0.7352941176470589,1.1791218462235786,1.4290660826755348
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,linear,medium,78,0.358974358974359,0.47435897435897434,2.3568121902167034,1.6878620533553077
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,sinusoidal_lateral,high,593,0.33558178752107926,0.36930860033726814,2.7320356901674603,1.6273552754996063
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,sinusoidal_lateral,low,282,0.1524822695035461,0.17375886524822695,3.694393005560595,1.240645401789682
attention_full,attention_full_1500k,1500000,eval_flow_mixed_ood,sinusoidal_lateral,medium,441,0.3673469387755102,0.3900226757369615,2.9051019213695075,1.5822457565537233
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,accel_decel,high,634,0.1892744479495268,0.1971608832807571,3.2391669699254377,2.1159315166835024
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,accel_decel,low,113,0.3893805309734513,0.4247787610619469,1.9185554895187373,1.9257214360835793
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,accel_decel,medium,351,0.33048433048433046,0.3475783475783476,3.0476499323300654,1.4767344199768002
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,ar1_velocity,high,730,0.3863013698630137,0.41643835616438357,2.829980487709431,1.8651295425742715
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,ar1_velocity,low,104,0.33653846153846156,0.4230769230769231,2.230805077491543,2.496190813593059
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,ar1_velocity,medium,288,0.2881944444444444,0.34375,3.014306145981512,1.5000510072352902
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,crossing_or_sudden_threat,high,923,0.38461538461538464,0.40628385698808234,2.93339496203784,1.8649635896608343
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,crossing_or_sudden_threat,low,454,0.1960352422907489,0.2356828193832599,2.9261010105727805,1.984192173233947
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,crossing_or_sudden_threat,medium,832,0.12139423076923077,0.13822115384615385,3.3808690824225778,1.807805706350997
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,linear,high,121,0.4380165289256198,0.4793388429752066,2.910913979988699,1.4696808846487033
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,linear,low,72,0.1388888888888889,0.1527777777777778,2.935708474367857,1.2541618797735818
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,linear,medium,118,0.5,0.5338983050847458,1.9938497604502334,2.0191925118905463
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,sinusoidal_lateral,high,574,0.4337979094076655,0.4547038327526132,2.733254668052967,1.7265997811352227
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,sinusoidal_lateral,low,138,0.16666666666666666,0.18115942028985507,3.889075472842956,1.2800898482535092
attention_full,attention_full_1500k,1500000,eval_flow_sudden_threat,sinusoidal_lateral,medium,234,0.2863247863247863,0.29914529914529914,2.997244233870481,1.6707314422995445
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,accel_decel,high,309,0.2686084142394822,0.313915857605178,3.05054085654083,2.0385597617903164
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,accel_decel,low,327,0.37003058103975534,0.3853211009174312,2.622886537659674,1.749858311524507
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,accel_decel,medium,631,0.24564183835182252,0.2820919175911252,3.3494078286269624,2.1966461668770108
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,ar1_velocity,high,272,0.5588235294117647,0.5772058823529411,2.2382412635389994,2.144982189168963
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,ar1_velocity,low,375,0.20266666666666666,0.24,3.951445710883786,1.3925939705697705
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,ar1_velocity,medium,570,0.2929824561403509,0.312280701754386,3.601242586847787,1.5085494651187499
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,crossing_or_sudden_threat,high,234,0.3076923076923077,0.3247863247863248,3.528218586273436,2.727335503430389
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,crossing_or_sudden_threat,low,194,0.15463917525773196,0.15463917525773196,5.120457280926483,1.553119433309197
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,crossing_or_sudden_threat,medium,213,0.2112676056338028,0.2300469483568075,5.328144947372971,1.6645291808777138
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,linear,high,196,0.32142857142857145,0.336734693877551,3.699915755645857,1.3130306566033816
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,linear,low,166,0.06626506024096386,0.06626506024096386,4.385048344327384,1.543771324877891
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,linear,medium,293,0.4402730375426621,0.4641638225255973,3.4953603503229127,1.5938439368698496
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,sinusoidal_lateral,high,379,0.48284960422163586,0.503957783641161,2.6859470385121855,2.145802097528486
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,sinusoidal_lateral,low,264,0.22348484848484848,0.24242424242424243,3.7850059961175164,1.6992198099788085
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_density,sinusoidal_lateral,medium,566,0.4452296819787986,0.4787985865724382,2.8569877110136788,1.9377802017021535
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,accel_decel,high,535,0.2542056074766355,0.27102803738317754,3.546817303910225,1.823930448865191
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,accel_decel,low,142,0.19014084507042253,0.20422535211267606,3.914532971987132,1.235917471659381
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,accel_decel,medium,608,0.28125,0.34210526315789475,2.9783885459274693,1.9097991535139334
