step,scenario,risk_reference_method,wide_method,wide_beta,delta_mean_time_risk5_minus_wide,delta_near_miss_risk5_minus_wide,delta_min_distance_risk5_minus_wide,delta_collision_risk5_minus_wide,delta_success_risk5_minus_wide,delta_reaction_risk5_minus_wide,wide_covers_risk5,best_cover_method
750000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-0.911999999999999,-0.08,-0.2118010848760603,-0.04,0.040000000000000036,-5.551115123125783e-17,False,
750000,eval_mixed_v2,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
750000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.12400000000000055,0.0,0.1042853784561153,0.0,0.0,,False,
750000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.03999999999999915,0.0,-0.04556713819503866,0.0,0.0,,True,
750000,eval_random_switch,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.7079999999999984,0.0,-0.44685370445251493,0.0,0.0,,False,
750000,eval_random_switch,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta5_reference
750000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,-1.2439999999999998,0.060000000000000005,-0.2506356489658357,0.0,0.0,,False,
750000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.22800000000000153,0.060000000000000005,-0.299067139029503,-0.02,0.020000000000000018,,False,
750000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-2.9840000000000018,0.060000000000000005,-0.43966470837593086,-0.02,0.020000000000000018,,False,
750000,eval_random_switch_hard,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
750000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.05200000000000227,0.04,-0.0013839960098260828,0.02,-0.020000000000000018,,True,
750000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.2879999999999985,0.0,-0.0964935636520381,0.0,0.0,,False,
750000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.6119999999999983,0.04,-0.45374126195907527,0.02,-0.020000000000000018,,False,
750000,eval_sinusoidal,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta2
750000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.04800000000000182,0.0,-0.003976924419403227,0.0,0.0,-5.551115123125783e-17,True,
750000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,-0.13199999999999967,0.0,-0.12042794227600129,0.0,0.0,-0.003999999999999976,False,
750000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.8279999999999994,0.0,-0.39633322000503557,0.0,0.0,-5.551115123125783e-17,False,
750000,eval_sudden_turn,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,True,attention_full_distance_penalty_wide_d2_beta2
750000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta2,2.0,0.27200000000000024,-0.06,0.485845148563385,-0.02,0.020000000000000018,-0.004000000000000059,False,
750000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta5_reference,5.0,0.20400000000000063,0.0,0.24159007549285905,0.0,0.0,-0.0480000000000001,False,
750000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,attention_full_distance_penalty_wide_d2_beta10,10.0,-1.716000000000001,-0.04,-0.11920837402343754,-0.02,0.020000000000000018,-5.551115123125783e-17,False,
750000,eval_threat_validated_sudden,attention_full_risk_penalty_beta5_reference,best_wide_beta,,,,,,,,False,
