method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,delta_hat_9_after_scale,0,4444,39996,0,0,1.3003230849842597,1.286247968673706,1.9432771563529967,2.718634843826294,1.012226026887485,1.476604092121124,2.378992795944214
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,logvar_hat_9_clamped,0,4444,39996,0,0,12.601280437408537,13.06997013092041,14.447798156738282,15.0,4.9519194829152795,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,high,full_aug_obs,0,4444,417736,0,0,28.78968785691111,28.010090827941895,42.10348548889159,50.45425033569336,9.238740906427832,13.565958738327025,16.42435646057129
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,obs_i_12,0,6119,73428,0,0,1.4178465666831719,1.4060642719268799,1.8576912522315976,2.2943334579467773,0.8428443726380485,1.0066128611564635,1.3748587369918823
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,z_i_64_raw,0,6119,391616,0,0,27.010460047652508,26.87643051147461,39.695062637329094,47.87491226196289,9.68143487728622,13.61802396774292,15.634805679321289
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,z_i_64_after_norm,0,6119,391616,0,0,27.010460047652508,26.87643051147461,39.695062637329094,47.87491226196289,9.68143487728622,13.61802396774292,15.634805679321289
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,delta_hat_9_after_scale,0,6119,55071,0,0,1.3184795490368497,1.2918498516082764,1.9733460068702693,3.4262325763702393,1.03760734442174,1.4913873672485352,2.7765209674835205
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,logvar_hat_9_clamped,0,6119,55071,0,0,12.850311705169577,13.34876823425293,14.397486114501953,15.0,4.959843890069649,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,high,full_aug_obs,0,6119,575186,0,0,30.085128802726384,29.962182998657227,42.23129997253417,50.181297302246094,9.69202620540107,13.61802396774292,15.634805679321289
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,obs_i_12,0,407,4884,0,0,1.374578757866009,1.3838236331939697,1.7227279543876646,2.066589593887329,0.7164094745380579,0.8903850853443146,1.172654628753662
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,z_i_64_raw,0,407,26048,0,0,23.20836402040149,26.554397583007812,30.502997589111327,38.8376579284668,8.496188406862263,11.488777160644531,13.325406074523926
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,z_i_64_after_norm,0,407,26048,0,0,23.20836402040149,26.554397583007812,30.502997589111327,38.8376579284668,8.496188406862263,11.488777160644531,13.325406074523926
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,delta_hat_9_after_scale,0,407,3663,0,0,1.3914034039660812,1.4206664562225342,2.06538724899292,2.227719783782959,1.02678146237091,1.4326986908912658,1.5442116260528564
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,logvar_hat_9_clamped,0,407,3663,0,0,11.960426605890072,12.77265739440918,13.887835121154785,14.40947437286377,4.9253697863960735,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,ar1_velocity,medium,full_aug_obs,0,407,38258,0,0,26.277025679698447,29.2969970703125,33.561578369140626,41.454776763916016,8.53417987964077,11.488777160644531,13.325406074523926
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,obs_i_12,0,366,4392,0,0,1.414869394295854,1.4358735084533691,1.7901224195957184,2.20930552482605,0.7646835405644172,1.039099931716919,1.2413184642791748
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,z_i_64_raw,0,366,23424,0,0,29.21693300288883,27.991713523864746,39.67020130157471,45.15953063964844,10.392921022378681,13.438130378723145,15.496977806091309
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,z_i_64_after_norm,0,366,23424,0,0,29.21693300288883,27.991713523864746,39.67020130157471,45.15953063964844,10.392921022378681,13.438130378723145,15.496977806091309
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,delta_hat_9_after_scale,0,366,3294,0,0,1.3604271686305114,1.3659502267837524,1.8831450939178467,2.2225239276885986,1.085308223392794,1.5654024183750153,1.6957941055297852
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,logvar_hat_9_clamped,0,366,3294,0,0,13.288045296903517,13.551482200622559,14.391217470169067,14.72237491607666,4.998263570128894,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,full_aug_obs,0,366,34404,0,0,32.25521996503319,31.144041061401367,42.25029945373535,47.49105453491211,10.408016423710057,13.438130378723145,15.496977806091309
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,obs_i_12,0,57,684,0,0,1.3996659475460387,1.3788117170333862,1.7954597949981685,1.936212420463562,0.7327165718664203,0.8899402737617492,0.9232274889945984
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,z_i_64_raw,0,57,3648,0,0,21.00273830012271,21.2515926361084,26.735763549804684,27.578277587890625,7.615299701690674,9.42323989868164,9.897347450256348
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,z_i_64_after_norm,0,57,3648,0,0,21.00273830012271,21.2515926361084,26.735763549804684,27.578277587890625,7.615299701690674,9.42323989868164,9.897347450256348
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,delta_hat_9_after_scale,0,57,513,0,0,1.2014672842464948,1.2236368656158447,1.8836139202117914,2.0325632095336914,0.8918880575843025,1.4526227474212643,1.5956287384033203
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,logvar_hat_9_clamped,0,57,513,0,0,11.92780794177139,12.118060111999512,14.10303840637207,14.139861106872559,4.972007199337608,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,full_aug_obs,0,57,5358,0,0,24.270062262551825,24.340232849121094,30.277259445190428,31.04775047302246,7.677575889386628,9.42323989868164,9.897347450256348
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,obs_i_12,0,155,1860,0,0,1.2869064873264682,1.2341740131378174,1.7357126832008358,2.1402339935302734,0.7370762017465406,0.9803509414196012,1.4039825201034546
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,z_i_64_raw,0,155,9920,0,0,26.16607255628032,27.270832061767578,36.872433471679685,38.803314208984375,9.364330923941827,12.634975814819336,13.260577201843262
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,z_i_64_after_norm,0,155,9920,0,0,26.16607255628032,27.270832061767578,36.872433471679685,38.803314208984375,9.364330923941827,12.634975814819336,13.260577201843262
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,delta_hat_9_after_scale,0,155,1395,0,0,1.1988302057789217,1.2228362560272217,1.6109373688697814,1.9004656076431274,1.026721397138411,1.3824960350990294,1.6313419342041016
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,logvar_hat_9_clamped,0,155,1395,0,0,12.982127254239975,13.471831321716309,14.435451126098632,14.513848304748535,4.950319187102779,5.0,5.0
