method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,seed,scenario,episode_id,episode_seed,success,collision,near_miss,mean_min_distance,episode_min_distance,episode_length,progress,planned_cpa,planned_ttc,threat_class,threat_motion_mode,threat_valid_rate,replacement_count,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,raw_min_predicted_cpa,action_norm,action_delta,no_response_rate,nan_or_crash
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,37,1037,1,0,1,4.5826983985801535,1.3359192609786987,96,0.9836226085707747,0.5746872712173356,8.641071494212156,high,accel_decel,1.0,36,42.91948620223954,0.2708333333333333,0.3645833333333333,2.259227892170505,1.1050823939343293,0.08427505291668543,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,38,1038,0,1,0,5.676871097606162,0.5605996251106262,92,0.9044608647749878,0.4975793742784931,3.8487489719202435,high,ar1_velocity,1.0,36,20.187206959652386,0.1956521739130435,0.1956521739130435,3.2774248189247293,1.1425527612800184,0.07140428417503995,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,39,1039,0,1,0,5.401160406029743,0.5413069128990173,92,0.9620964617627336,0.7203328777780953,3.9431813941740614,high,ar1_velocity,1.0,32,20.88785038589104,0.2826086956521739,0.29347826086956524,3.053427464166737,1.166974839956864,0.06564778350192406,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,40,1040,1,0,0,5.87050284761371,2.461350679397583,99,0.9964040290401608,0.6082732390923232,7.434152227204838,high,accel_decel,1.0,34,42.832287540525144,0.06060606060606061,0.0707070707070707,4.415337304763421,1.215802818837792,0.06612919421038693,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,41,1041,0,1,0,5.456753958412942,0.6351409554481506,94,0.9667501498569628,0.3785437027468938,8.684962273502832,high,linear,1.0,33,21.10353352072577,0.2553191489361702,0.2553191489361702,3.4846195737098125,1.1708298883539565,0.06337114287158871,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,42,1042,0,1,0,5.179127106721374,0.3904629945755005,87,0.8864905528282613,0.667681439702162,6.788642962141855,high,linear,1.0,25,19.58514853592993,0.3103448275862069,0.3103448275862069,2.6215098638829493,1.1584612857336285,0.05677984346135188,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,43,1043,1,0,1,4.710902221202851,1.304936170578003,100,0.9874772468612337,0.5816416840860006,5.109618819071095,high,ar1_velocity,1.0,26,43.02641221988438,0.06,0.14,3.2662309342622757,1.1211326617002486,0.0676926729362458,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,44,1044,1,0,1,4.650285824537277,1.0057653188705444,100,0.9811194633811081,0.4651791037933827,8.504987789352402,high,accel_decel,1.0,26,42.76848025506215,0.31,0.33,2.014752622852102,1.110694927573204,0.07957400667481124,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,45,1045,0,1,0,5.221559658012492,0.46152737736701965,94,0.9657321773969083,0.44710835328733695,4.180009384949258,high,sinusoidal_lateral,1.0,26,20.969013914408173,0.3191489361702128,0.3191489361702128,3.429388880333368,1.1815776482541511,0.08217512511033961,0.0,0
obs_delta_only,n3p_obs_delta_only_500k,obs_delta_only_250k,checkpoints/env_v2_gpsi_heada_ppo_n3p_obs_delta_only_s0/checkpoint_250k.zip,250000,250k,0,eval_flow_id,46,1046,0,1,0,4.505933453639348,0.43708500266075134,93,0.8939131851332609,0.6294545473551667,3.816430722842503,high,linear,1.0,28,19.834803985124097,0.3225806451612903,0.3333333333333333,2.753912058971842,1.114399424163244,0.0739019039557666,0.0,0
