method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,scenario_valid_rate,planned_threat_valid_rate,threat_valid_rate,realized_near_miss_rate,predicted_cpa_to_nominal_path_mean,obstacle_motion_modes,source_csv,checkpoint_path
attention_full_distance_penalty_wide_d2,0,250000,eval_sinusoidal,2.0,50,1.0,0.0,,,1.0,2.410427054166794,0.02,8.604000000000001,22.241124399663633,0.16,0.0046299108269158675,0.013640688169398342,0.037223940740805116,1.82486090418141,0.002491300301232567,0.0024913003012064193,1.0,1.0,1.0,0.06,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.451584837436676,0.0,8.8,22.24776202320579,0.18,0.0013087418055738398,0.001390368342399596,0.009515627264045168,0.2479692382558482,0.00015570517377211393,0.00015570507205699553,1.0,1.0,1.0,0.0,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,250000,eval_threat_validated_sudden,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,3.379638042449951,0.0,8.996000000000002,22.227716775189364,0.0,0.0,0.0,0.0,0.0,1.3911428324579009e-05,1.3911428324223738e-05,1.0,1.0,1.0,0.0,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step250000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step250000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_accel_decel,2.0,50,1.0,0.0,,,1.0,2.1154569172859192,0.0,8.232000000000001,22.244226660146804,0.22,0.0006237778189188151,0.000136096361093218,0.0021966546354815295,0.2145406317367815,5.945057234049728e-05,5.945057215876166e-05,1.0,1.0,1.0,0.0,,"[""accel_decel"",""accel_decel"",""accel_decel""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_accel.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_ar1,2.0,50,1.0,0.0,,,1.0,2.02090283870697,0.0,8.192,22.233852598493883,0.38,0.002253391318226914,0.0020958380349293242,0.016179129736000303,0.6605199033009654,0.00022689128118058452,0.0002268876096649475,1.0,1.0,1.0,0.02,,"[""simple_ar1"",""simple_ar1"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_ar1.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_mixed_v2,2.0,50,0.98,0.02,0.20000000000000007,0.20000000000000007,0.0,2.246801791191101,0.04,8.064,21.837397660640416,0.4,0.012976233545268756,0.040425731602590526,0.09815221137070694,2.205867869993515,0.004709798516948443,0.004709798516948082,1.0,1.0,1.0,0.14,3.6960710929179187e-07,"[""threat_validated_sudden"",""sinusoidal"",""simple_ar1""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_mixed_v2.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch,2.0,50,1.0,0.0,,,1.0,2.220357835292816,0.0,8.328000000000001,22.324871917518994,0.16,0.0014326897685714318,0.003271164447069166,0.009895620346069335,0.4492523990553678,0.00024155583727299298,0.00024152603673691065,1.0,1.0,1.0,0.02,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_random.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch_hard,2.0,50,1.0,0.0,,,1.0,1.721841584444046,0.02,8.992,21.95514221904953,0.86,0.012150899594914475,0.03545162023743612,0.08876312256325032,1.1036258387333966,0.003475350073290393,0.003459397642772007,1.0,1.0,1.0,0.24,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_hard.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_sinusoidal,2.0,50,0.98,0.02,,,1.0,1.9743082416057587,0.04,8.192,21.812314636356856,0.38,0.008719536122807747,0.023649570251727706,0.06496000866757413,2.179834277324634,0.003998711676568128,0.003998703692433214,1.0,1.0,1.0,0.04,,"[""sinusoidal"",""sinusoidal"",""sinusoidal""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_sinusoidal.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.0604992580413817,0.0,8.364,22.22302544730763,0.32,0.001947055683231145,0.0020669312319864692,0.014947928757756006,0.5163173098084286,0.0016080792483203468,0.0016077881768367056,1.0,1.0,1.0,0.04,,"[""random_switch"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
attention_full_distance_penalty_wide_d2,0,500000,eval_threat_validated_sudden,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.2866833817958834,0.02,8.1,22.22362544747822,0.3,0.009225535517675767,0.030366988532477972,0.0717461845651269,1.1594598350784544,0.0022267035173878496,0.0022266215764419526,1.0,1.0,1.0,0.14,3.6960710929179187e-07,"[""threat_validated_sudden"",""random_switch"",""random_switch""]",results/p2_rich_motion/stage2_eval/attention_full_distance_penalty_wide_d2_s0_step500000_threat_sudden.csv,checkpoints/p2_rich_motion/attention_full_distance_penalty_wide_d2_s0_step500000.zip
