run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,std_min_distance,mean_time,mean_episode_reward,mean_reaction_time,std_reaction_time,nan_rate_reaction_time,mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
Rgate8_lambda015_RbarFloor03,1,300k,sudden,1.0,0.0,1.3006286495923995,0.3202139396355609,7.288000000000002,22.15197294401219,0.27000000000000013,0.22807937657798444,0.0,1.7834818929433822,0.036317065935187326,0.04517664502041465,0.10000000000000005,,1.0,1.1330567757288614,1.706687730550766,2.028571428571429,0.0366758517310573,0.3983501280066169,0.03555220506432726,0.35928664625785867,0.8557604520271221,0.9775887082020441,0.9666666666666667
Rgate8_lambda015_RbarFloor03,1,500k,hard,0.95,0.05,0.8283368486166001,0.17546938366592998,6.416000000000001,20.41661531769782,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,500k,random,1.0,0.0,1.3194518768787384,0.7663191331267244,6.771999999999999,22.22858815363571,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,1,500k,sudden,1.0,0.0,1.1228546369075776,0.23603713846339444,6.805999999999999,22.212233900106508,4.322000000000001,11.55168954366119,0.0,1.701241779923439,0.03373921940904261,0.037972029038701255,0.0,,1.0,1.186958481868108,1.8631360967954,1.7000000000000002,0.03432639165527177,0.4983675234640638,0.032948287308086015,0.43855221383769466,0.8727718461625045,0.9609575827916463,1.0
Rgate8_lambda015_RbarFloor03,2,100k,hard,1.0,0.0,0.9823595190048218,0.20510750206450368,7.193999999999997,22.13853769566771,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,100k,random,1.0,0.0,1.5562717032432556,1.168593783553998,7.056,22.330276127974074,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,100k,sudden,1.0,0.0,1.198119814991951,0.2365586569940607,7.179999999999999,22.41725949396073,0.3340000000000002,0.2927473485806662,0.0,1.7289571714401246,0.020319417579964725,0.031553999037453165,0.0,0.2000000000000001,0.9666666666666667,0.9927960872650147,1.7170384923617046,2.0000000000000004,0.02160525688969818,0.35134151472983227,0.02059452804641446,0.3173626605735089,0.7502929625638194,0.9312690834204356,0.9333333333333333
Rgate8_lambda015_RbarFloor03,2,200k,hard,1.0,0.0,1.1485111820697784,0.26958235935788355,7.768000000000001,22.089143898012058,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,200k,random,1.0,0.0,1.8808031171560287,1.0207567189521096,7.78,22.265544233191157,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,200k,sudden,1.0,0.0,1.5205810427665711,0.40797475283814827,7.87,22.38598873372513,0.2080000000000001,0.05628211765451589,0.0,2.083710298538208,0.0003141167787667996,0.005867132996505747,,,1.0,0.9764239291350046,1.9167459626992545,1.7600000000000005,0.00042112899725270055,0.16466706658005323,0.00042112669984619106,0.15472930221775671,0.5571056951545567,0.9342122733592987,0.9666666666666667
Rgate8_lambda015_RbarFloor03,2,300k,hard,0.99,0.01,1.025951771736145,0.24564874629410294,7.12,21.835369603492932,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,300k,random,1.0,0.0,1.7013456189632417,1.0291997305151335,7.198,22.340184923080756,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,300k,sudden,1.0,0.0,1.3442177700996398,0.343079046952875,7.254,22.413240167139634,0.43200000000000033,0.7922452431239492,0.0,1.8865205961465836,0.026214299059821918,0.0374735042206189,0.10000000000000005,,1.0,1.0489993383487066,1.7481177171071371,1.8444444444444446,0.02641337164054221,0.29374228622376297,0.025817553599410754,0.26727096354133906,0.6455289730080123,0.9670424034198125,1.0
Rgate8_lambda015_RbarFloor03,2,500k,hard,0.89,0.11,0.7669941356778145,0.18687067972020688,6.156000000000001,18.894604947216017,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,500k,random,0.98,0.02,1.3115622186660767,1.189890466156376,6.712000000000001,21.863250315866615,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015_RbarFloor03,2,500k,sudden,0.98,0.02,0.9206822344660759,0.20270097016625357,6.741999999999999,21.89204916075566,4.161616161616162,9.888054090057325,0.01,1.412337425649166,0.09453047486126417,0.13961693200729614,0.08000000000000004,0.050000000000000024,0.8666666666666667,1.0360269566377005,1.6970706681410472,1.8500000000000005,0.10327627380584646,0.6711012127498786,0.09117396167369514,0.553478103691538,0.8604567418901041,0.956353438893954,1.0
Rgate8_lambda015,0,100k,hard,0.98,0.02,0.9286090895533562,0.14068064569752028,7.034000000000001,21.385959584167054,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,100k,random,0.99,0.01,1.477422668337822,1.2402108220745829,6.936,22.000129346151702,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,100k,sudden,0.98,0.02,1.1417640826106072,0.2253877421231149,6.941999999999999,21.730501357825574,0.35400000000000026,0.3479869961578299,0.0,1.5902790716290474,0.046591893800714816,0.053021194513615685,0.0,0.0,0.9666666666666667,1.0403252810239791,1.777598148584366,2.1250000000000004,0.04772141279008125,0.4540155960402141,0.045761666659270415,0.4051817650275588,0.835364537059407,0.9455661425987879,0.9666666666666667
Rgate8_lambda015,0,200k,hard,0.99,0.01,1.0407548010349275,0.18193931078204564,7.482,21.62822385814279,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,200k,random,1.0,0.0,1.793734678030014,1.1754400650291428,7.52,22.209872458679,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,200k,sudden,1.0,0.0,1.4130658477544784,0.31412250335873493,7.549999999999999,22.20781982007492,0.2160000000000001,0.0677487932726406,0.0,1.9141434717178345,0.026809285434095588,0.035748903351029565,0.0,,1.0,1.115891761581103,1.998756233851115,1.9000000000000004,0.03861089695109591,0.19267108836405286,0.03712437791199103,0.18454367783690598,0.722348170230786,0.910975706577301,1.0
Rgate8_lambda015,0,300k,hard,0.96,0.04,0.9345992413163186,0.18301884117882997,6.714000000000001,20.779674614419875,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,300k,random,1.0,0.0,1.5637276947498322,1.2269073831119308,6.864,22.28470158287189,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,300k,sudden,1.0,0.0,1.201562460064888,0.23510192711446276,6.9319999999999995,22.280703974825034,0.5700000000000003,0.7000000000000001,0.0,1.6252250111103057,0.05339005647579509,0.061456623639886326,0.0,0.0,0.9666666666666667,1.0524673442045847,1.7970564941565195,1.981818181818182,0.05457481865649829,0.3527795212653776,0.05231512646254575,0.32332521053301044,0.8212669047992677,0.9472986181577047,1.0
Rgate8_lambda015,0,500k,hard,0.9,0.1,0.8360300177335739,0.18740525810231143,6.122000000000002,18.916043598478602,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,500k,random,0.98,0.02,1.4352338242530822,1.2565608024201305,6.65,21.797474886033502,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,0,500k,sudden,1.0,0.0,1.0546709138154984,0.19061914555845,6.755999999999999,22.28517326155204,21.24199999999999,18.23727551422685,0.0,1.455815903544426,0.06679538176011071,0.07253716661374028,0.0,0.0,0.9666666666666667,1.0536198417345684,1.7546724696954092,2.2888888888888896,0.07269740983118542,0.4490696649067104,0.06932797641215219,0.3984635159920142,0.8380913637888928,0.9467130482196808,1.0
Rgate8_lambda015,1,100k,hard,0.99,0.01,1.0220528280735015,0.17079162746427973,7.336,21.592335628145147,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,100k,random,0.99,0.01,1.5425757974386216,0.7811336038571876,7.255999999999999,21.958996736837438,,,1.0,,,,,,,,,,,,,,,,
