method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,eval_flow_high_threat,50,0.4,0.6,0.36,0.9331963006870515,5.103248387758509,0.6811261734366417,105.26,28.927461843341586,0.26468948450463375,0.3021411470898982,1.5626618300646273,0.08408890249607064,0.0,3.209904616335003,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,eval_flow_id,50,0.48,0.52,0.38,0.948139858419312,5.313248918294394,0.760447773039341,103.68,31.115815814172667,0.2700153470731836,0.305837689759769,1.5600761629313515,0.07778861019998902,0.0,3.2103883987992905,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,eval_flow_mixed_ood,50,0.4,0.6,0.4,0.9143695563129077,4.960534347536838,0.6190767593681812,102.18,28.313896345539778,0.2783904130461996,0.3130992756514053,1.5650003071919738,0.08468193535732915,0.0,3.0913870164416504,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,eval_flow_sudden_threat,50,0.38,0.62,0.36,0.9331663956008573,5.214438401149085,0.6848412448167801,103.0,28.623551045464687,0.2418474382399313,0.2735148019485401,1.56332147363867,0.07732562909748027,0.0,3.256833206363366,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_high_density,50,0.24,0.76,0.22,0.9377941815220453,5.772424572292856,0.6069165080785751,111.36,25.618111447478583,0.28610280577099156,0.316225729153636,1.6199575108749245,0.05882934696757907,0.0,3.580575653236079,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_high_speed,50,0.28,0.72,0.22,0.9457277769836469,5.546427669888991,0.625720433741808,116.76,26.321895669689514,0.2196723210851502,0.26078761050534505,1.6179784095041205,0.06547667519157889,0.0,3.6820603971949826,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_high_threat,50,0.34,0.66,0.26,0.9632533976217288,6.12415072954318,0.7191756400465965,116.48,28.496206706737638,0.25449252059853206,0.2797811536682201,1.6193350339132513,0.05880538153357872,0.0,3.9752760775008347,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_id,50,0.52,0.48,0.46,0.9679412418923957,6.286926919631368,0.7475935351848603,119.22,32.32380365345876,0.24406058703642647,0.27095717198807157,1.6153236274739726,0.06255100127941934,0.0,4.037409906277829,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_mixed_ood,50,0.48,0.52,0.46,0.9517504615383878,5.911250784322823,0.7317454633116722,113.34,30.997484504218818,0.2516491178090223,0.2881879634619343,1.6227017296528394,0.06159042401649151,0.0,3.8290868076762505,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,eval_flow_sudden_threat,50,0.52,0.48,0.48,0.9658954344179714,6.200290083676032,0.8120111697912216,120.64,32.24957088474755,0.2360988561555353,0.268465471003835,1.6161097948251384,0.05831713021266023,0.0,4.0381497324066915,0
