method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,accel_decel,66,0.4090909090909091,0.5909090909090909,0.3484848484848485,0.9079229549157101,5.647460478947295,0.7325260537591848,115.87878787878788,28.110472112856712,0.2733276011671899,0.30529823170270626,1.6229648845186926,0.08973033983614447,0.0,3.4842517548431036,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,ar1_velocity,73,0.5342465753424658,0.4657534246575342,0.4794520547945205,0.9327725258876755,5.426766650226117,0.8015950240500985,114.3013698630137,31.59172383317253,0.2899095898889461,0.32759011048823244,1.619549268735424,0.08835086347380801,0.0,3.33939743777805,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,crossing_or_sudden_threat,37,0.5675675675675675,0.43243243243243246,0.35135135135135137,0.9428554899040533,5.548121103052702,0.9681125959834537,113.94594594594595,32.60764663337242,0.26672276866190014,0.3050717526596639,1.6235135358463644,0.08722314522236782,0.0,3.453650598000998,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,linear,40,0.2,0.8,0.175,0.8958588271217499,5.409319198402003,0.6005170844495297,106.25,23.60520349395654,0.30925054662151413,0.34611720978297067,1.6239329355149927,0.08210331492637064,0.0,3.15714091200467,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_best_by_eval,1500000,best_by_eval,sinusoidal_lateral,84,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.9389085634397719,5.53856355780722,0.7623510419258049,117.97619047619048,30.595618035812485,0.25827065824127643,0.29684752702897094,1.6186872421341634,0.08998287465714168,0.0,3.4583717345301825,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,accel_decel,66,0.4090909090909091,0.5909090909090909,0.3484848484848485,0.9079229549157101,5.647460478947295,0.7325260537591848,115.87878787878788,28.110472112856712,0.2733276011671899,0.30529823170270626,1.6229648845186926,0.08973033983614447,0.0,3.4842517548431036,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,ar1_velocity,73,0.5342465753424658,0.4657534246575342,0.4794520547945205,0.9327725258876755,5.426766650226117,0.8015950240500985,114.3013698630137,31.59172383317253,0.2899095898889461,0.32759011048823244,1.619549268735424,0.08835086347380801,0.0,3.33939743777805,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,crossing_or_sudden_threat,37,0.5675675675675675,0.43243243243243246,0.35135135135135137,0.9428554899040533,5.548121103052702,0.9681125959834537,113.94594594594595,32.60764663337242,0.26672276866190014,0.3050717526596639,1.6235135358463644,0.08722314522236782,0.0,3.453650598000998,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,linear,40,0.2,0.8,0.175,0.8958588271217499,5.409319198402003,0.6005170844495297,106.25,23.60520349395654,0.30925054662151413,0.34611720978297067,1.6239329355149927,0.08210331492637064,0.0,3.15714091200467,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_final,1500000,final,sinusoidal_lateral,84,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.9389085634397719,5.53856355780722,0.7623510419258049,117.97619047619048,30.595618035812485,0.25827065824127643,0.29684752702897094,1.6186872421341634,0.08998287465714168,0.0,3.4583717345301825,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,accel_decel,60,0.4666666666666667,0.5333333333333333,0.38333333333333336,0.9305710494474078,5.2822982334081905,0.7957669282952945,105.11666666666666,30.185119145035173,0.23284501694536744,0.2593562173961458,1.4847373586024817,0.08748707109557553,0.0,3.456770881966208,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,ar1_velocity,81,0.49382716049382713,0.5061728395061729,0.4691358024691358,0.9466629312583235,5.237568566329789,0.7304068685129836,106.32098765432099,31.28600793432995,0.23561572203054315,0.2694792179053143,1.4825402718481961,0.0843206340394124,0.0,3.411897684148379,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,crossing_or_sudden_threat,35,0.4857142857142857,0.5142857142857142,0.45714285714285713,0.9406089582456596,5.250937014831773,0.7349890410900116,105.22857142857143,30.96797704872383,0.23907596351044696,0.27329984440415156,1.4851739280908325,0.08260903682701651,0.0,3.339991977391735,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,linear,47,0.44680851063829785,0.5531914893617021,0.425531914893617,0.9263913467362674,5.387383757321341,0.6948577729945488,104.23404255319149,29.680056024873036,0.238490932638253,0.27184069189586607,1.485862715710218,0.08397942900260114,0.0,3.4054318494923277,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_parent_500k,500000,parent_500k,sinusoidal_lateral,77,0.45454545454545453,0.5454545454545454,0.4025974025974026,0.9388437812773549,5.352029816317823,0.7176708877086639,104.07792207792208,30.26171469322317,0.23668246970569212,0.2675619193114244,1.4838139435803988,0.0835498113768193,0.0,3.4555269758112237,0
