method_key,method,base_policy,shield_enabled,shield_config_name,eval_seed,scenario,steps,shield_trigger_rate,filter_delta_norm_mean,filter_delta_norm_p95,raw_action_unsafe_rate,filtered_action_unsafe_rate,raw_min_predicted_cpa,filtered_min_predicted_cpa,raw_ttc_min,filtered_ttc_min,a_raw_norm,a_exec_norm
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_high_density,5664,0.0,0.0,0.0,0.2688912429378531,0.2688912429378531,3.375549942749035,3.375549942749035,0.0,0.0,1.5558633023904542,1.5558633023904542
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_high_speed,5301,0.0,0.0,0.0,0.21656291265798905,0.21656291265798905,3.250244676264699,3.250244676264699,0.0,0.0,1.5601564751686048,1.5601564751686048
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_high_threat,5751,0.0,0.0,0.0,0.23821944009737436,0.23821944009737436,3.70767710916364,3.70767710916364,0.0,0.0,1.5557591752205033,1.5557591752205033
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_id,5788,0.0,0.0,0.0,0.21855563234277817,0.21855563234277817,3.8747900678934917,3.8747900678934917,0.0,0.0,1.5551392942687603,1.5551392942687603
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_mixed_ood,5705,0.0,0.0,0.0,0.23943908851884313,0.23943908851884313,3.594050996463372,3.594050996463372,0.0,0.0,1.5558379783429774,1.5558379783429774
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1000,eval_flow_sudden_threat,5803,0.0,0.0,0.0,0.20954678614509736,0.20954678614509736,3.863221415458255,3.863221415458255,0.0,0.0,1.555234387868769,1.555234387868769
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_high_density,5706,0.0,0.0,0.0,0.26691202243252715,0.26691202243252715,3.381738701642096,3.381738701642096,0.0,0.0,1.5549673204918388,1.5549673204918388
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_high_speed,5263,0.0,0.0,0.0,0.2177465323959719,0.2177465323959719,3.2355982753366432,3.2355982753366432,0.0,0.0,1.5592169799710462,1.5592169799710462
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_high_threat,5755,0.0,0.0,0.0,0.23440486533449176,0.23440486533449176,3.735993988317564,3.735993988317564,0.0,0.0,1.5555004521725386,1.5555004521725386
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_id,5767,0.0,0.0,0.0,0.21657707646956822,0.21657707646956822,3.8947933006952287,3.8947933006952287,0.0,0.0,1.554237786293526,1.554237786293526
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_mixed_ood,5707,0.0,0.0,0.0,0.239355177851761,0.239355177851761,3.587012268592252,3.587012268592252,0.0,0.0,1.5553063206858992,1.5553063206858992
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1001,eval_flow_sudden_threat,5807,0.0,0.0,0.0,0.2107800929912175,0.2107800929912175,3.878268978846923,3.878268978846923,0.0,0.0,1.5548621789095671,1.5548621789095671
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_high_density,5710,0.0,0.0,0.0,0.26847635726795094,0.26847635726795094,3.3763900078049898,3.3763900078049898,0.0,0.0,1.5550626484608692,1.5550626484608692
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_high_speed,5295,0.0,0.0,0.0,0.21831916902738432,0.21831916902738432,3.2218888412559283,3.2218888412559283,0.0,0.0,1.558729999779079,1.558729999779079
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_high_threat,5752,0.0,0.0,0.0,0.23244089012517385,0.23244089012517385,3.763991812599072,3.763991812599072,0.0,0.0,1.5555174500371882,1.5555174500371882
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_id,5797,0.0,0.0,0.0,0.21752630671036743,0.21752630671036743,3.874158067675241,3.874158067675241,0.0,0.0,1.554060149052975,1.554060149052975
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_mixed_ood,5798,0.0,0.0,0.0,0.23732321490169023,0.23732321490169023,3.5820125446613367,3.5820125446613367,0.0,0.0,1.555655085555271,1.555655085555271
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1002,eval_flow_sudden_threat,5786,0.0,0.0,0.0,0.208779813342551,0.208779813342551,3.905622188158567,3.905622188158567,0.0,0.0,1.5551846058690915,1.5551846058690915
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,1000,eval_flow_high_density,8171,0.39884959001346226,0.3181682116469534,1.2349164485931396,0.38954840288826337,0.007098274385020194,2.7575161059005273,3.4317466653085176,0.0,0.0,1.5630892508763197,1.4501840409596742
