method_key,method,base_policy,shield_enabled,shield_config_name,checkpoint_path,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1000,high,288,0.6180555555555556,0.3819444444444444,0.5972222222222222,0.9561596405254947,4.662221673368039,0.793757622802837,115.30902777777777,33.93849191496721,0.31017180047717274,0.31017180047717274,1.5417233235640306,0.13870983991186303,0.0,2.6743492158832347,0
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1000,medium,12,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.9066903262579911,4.397797059964993,0.8471684729059538,112.33333333333333,33.280733765754846,0.3837095228721485,0.3837095228721485,1.5475515111488978,0.14985898063891526,0.0,2.3309619327611983,0
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1001,high,287,0.6097560975609756,0.3902439024390244,0.5888501742160279,0.9559796659877222,4.648807703093717,0.7899095502776136,115.34146341463415,33.76702879699738,0.31157904092752264,0.31157904092752264,1.5416325445474353,0.13948868311734888,0.0,2.6644806890692805,0
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1001,medium,13,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.9122399223513719,4.389813868812107,0.8620923092732062,113.3076923076923,33.99058852973599,0.38017932160687445,0.38017932160687445,1.5503497154223373,0.15338814251081892,0.0,2.3098573447973214,0
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1002,high,287,0.6132404181184669,0.3867595818815331,0.5923344947735192,0.9559556992569217,4.659771637010028,0.7910754856643777,115.14285714285714,33.83800042834897,0.3106724123921683,0.3106724123921683,1.5415323412560666,0.13936951186926283,0.0,2.664730705762293,0
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1002,medium,13,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.9122399223513719,4.389813868812107,0.8620923092732062,113.3076923076923,33.99058852973599,0.38017932160687445,0.38017932160687445,1.5503497154223373,0.15338814251081892,0.0,2.3098573447973214,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1000,high,275,0.88,0.11636363636363636,0.76,0.9846817180605895,4.389250987830484,1.1915493793921037,164.8581818181818,39.435202051067556,0.36515930306294064,0.36515930306294064,1.423545287318014,0.24005710058541296,0.0,2.3747889046262722,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1000,medium,25,0.88,0.12,0.84,0.9858375684206486,4.130676715899543,1.219852398633957,187.44,39.15715965392152,0.3705556802468297,0.3705556802468297,1.4108562206808017,0.25257858758725205,0.0,2.2392315738368804,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1001,high,275,0.88,0.11636363636363636,0.7709090909090909,0.9847766155544198,4.379446670740101,1.1879160244898364,164.3018181818182,39.44239691951132,0.3673975136284044,0.3673975136284044,1.4233167070238921,0.24061438583517222,0.0,2.36282336795258,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1001,medium,25,0.88,0.12,0.84,0.9858375684206486,4.130676715899543,1.219852398633957,187.44,39.15715965392152,0.3705556802468297,0.3705556802468297,1.4108562206808017,0.25257858758725205,0.0,2.2392315738368804,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1002,high,276,0.8840579710144928,0.11231884057971014,0.7681159420289855,0.9848451620672105,4.390160632843879,1.1965210099799046,163.54347826086956,39.53901108962922,0.36547115098594196,0.36547115098594196,1.4237851877575338,0.23898138290733556,0.0,2.369876543999316,0
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500k,1002,medium,24,0.875,0.125,0.8333333333333334,0.9858714621764867,4.118815621652928,1.2150976695120335,189.58333333333334,39.01934901201213,0.36945138261005545,0.36945138261005545,1.4097367490338384,0.2574994734132195,0.0,2.214988485578731,0
