split,horizon_sec,motion_mode_id,motion_mode,axis,count,mean,median,p10,p90,min,max
val,2.0,2,accel_decel,z,6754,-3.395420788553716,-3.371663808822632,-3.809447193145752,-3.0128620862960815,-4.653362274169922,-2.4222357273101807
val,4.0,2,accel_decel,x,5287,-1.2215250734234884,-1.2144429683685303,-1.3489888191223145,-1.1045743942260742,-1.588028073310852,-0.9003049731254578
val,4.0,2,accel_decel,y,5287,0.18176187333762392,0.17849937081336975,0.1151998832821846,0.2523531138896942,-0.08594309538602829,0.44345352053642273
val,4.0,2,accel_decel,z,5287,-2.6901860790214807,-2.665562629699707,-3.0277382850646974,-2.3991840839385987,-3.647864580154419,-1.9041763544082642
val,1.0,3,ar1_velocity,x,9577,-3.3844370655019187,-3.382859706878662,-3.874665689468384,-2.895582914352417,-5.0,-1.3976013660430908
val,1.0,3,ar1_velocity,y,9577,-3.643922034031391,-3.635704517364502,-4.158176326751709,-3.138190269470215,-5.0,-1.6325496435165405
val,1.0,3,ar1_velocity,z,9577,-4.963541812584048,-5.0,-5.0,-4.96390380859375,-5.0,-2.516136646270752
val,2.0,3,ar1_velocity,x,8642,-1.7629030449154255,-1.7623575925827026,-2.012235736846924,-1.5272358894348144,-2.573056936264038,-0.6501781940460205
val,2.0,3,ar1_velocity,y,8642,-1.4202337103208935,-1.414745271205902,-1.6557945609092712,-1.200126492977142,-2.5599775314331055,-0.5080859065055847
val,2.0,3,ar1_velocity,z,8642,-3.513138876279122,-3.5117563009262085,-4.008033227920532,-3.0290557146072383,-5.0,-1.571314811706543
val,4.0,3,ar1_velocity,x,6816,-1.2298348627005105,-1.2140014171600342,-1.5085903406143188,-0.9763788878917694,-2.3481392860412598,-0.29359620809555054
val,4.0,3,ar1_velocity,y,6816,0.17467770790582865,0.17717862129211426,0.03542677313089371,0.3112197518348694,-0.45521193742752075,0.6555638313293457
val,4.0,3,ar1_velocity,z,6816,-2.792868424486806,-2.784478545188904,-3.181458353996277,-2.4247556924819946,-4.204440593719482,-1.6237179040908813
val,1.0,4,crossing_or_sudden_threat,x,7575,-3.1184329148409,-3.1151890754699707,-3.496909761428833,-2.76492018699646,-4.364526748657227,-2.5190255641937256
val,1.0,4,crossing_or_sudden_threat,y,7575,-3.3768953745750703,-3.3683416843414307,-3.761245679855347,-3.0104790210723875,-4.496673583984375,-2.6590394973754883
val,1.0,4,crossing_or_sudden_threat,z,7575,-4.943803497415171,-5.0,-5.0,-4.758655452728272,-5.0,-4.271768569946289
val,2.0,4,crossing_or_sudden_threat,x,7085,-1.6754383618510267,-1.6655007600784302,-1.8707647323608398,-1.4946491479873658,-2.493722438812256,-1.2312620878219604
val,2.0,4,crossing_or_sudden_threat,y,7085,-1.3173453022748884,-1.3147556781768799,-1.478170394897461,-1.1631044626235962,-1.8794591426849365,-1.0223255157470703
val,2.0,4,crossing_or_sudden_threat,z,7085,-3.2845211255188635,-3.274766683578491,-3.666853094100952,-2.9236669540405273,-4.500980854034424,-2.5609142780303955
val,4.0,4,crossing_or_sudden_threat,x,6114,-1.194635970903683,-1.1888239979743958,-1.3523799657821656,-1.053771686553955,-2.0078890323638916,-0.718400776386261
val,4.0,4,crossing_or_sudden_threat,y,6114,0.1754745762147214,0.17887471616268158,0.06830998584628106,0.2606307536363602,-0.30846258997917175,0.7191232442855835
val,4.0,4,crossing_or_sudden_threat,z,6114,-2.6057518083440114,-2.5912692546844482,-2.902193856239319,-2.3272592067718505,-3.689601182937622,-2.0917580127716064
test,1.0,0,linear,x,7425,-3.085689212625677,-3.083951950073242,-3.425448942184448,-2.7316855430603026,-4.177495002746582,-2.6021995544433594
test,1.0,0,linear,y,7425,-3.3378310090845282,-3.3329503536224365,-3.68023567199707,-2.9839698314666747,-4.419803619384766,-2.8440663814544678
test,1.0,0,linear,z,7425,-4.939784488421097,-5.0,-5.0,-4.745998573303223,-5.0,-4.531735420227051
test,2.0,0,linear,x,6915,-1.665996328351813,-1.663898229598999,-1.8180871725082397,-1.509987473487854,-2.1524887084960938,-1.4418789148330688
test,2.0,0,linear,y,6915,-1.3013481401138691,-1.2979099750518799,-1.4473405122756957,-1.1483052730560304,-1.7672978639602661,-1.0916509628295898
test,2.0,0,linear,z,6915,-3.2404157383064387,-3.231210708618164,-3.5707319736480714,-2.8987473011016847,-4.29390811920166,-2.760986328125
test,4.0,0,linear,x,5935,-1.1966163120052848,-1.1914235353469849,-1.2914162158966065,-1.1056262969970703,-1.4993218183517456,-1.0322092771530151
test,4.0,0,linear,y,5935,0.18546947057420904,0.18802273273468018,0.1529848575592041,0.2200813889503479,0.09833455830812454,0.2636759281158447
test,4.0,0,linear,z,5935,-2.569290580363864,-2.562391519546509,-2.8345287799835206,-2.2950567245483398,-3.374603509902954,-2.186645269393921
test,1.0,1,sinusoidal_lateral,x,13774,-3.2432339911764134,-3.223711848258972,-3.735139584541321,-2.773386430740356,-5.0,-1.9558866024017334
test,1.0,1,sinusoidal_lateral,y,13774,-3.5334229201697225,-3.512081503868103,-4.05443730354309,-3.039099192619324,-5.0,-2.2164697647094727
test,1.0,1,sinusoidal_lateral,z,13774,-4.913254429349987,-5.0,-5.0,-4.652067184448242,-5.0,-3.133988618850708
test,2.0,1,sinusoidal_lateral,x,12872,-1.6897600612761146,-1.650445282459259,-2.1467469930648804,-1.2868900656700135,-3.0842325687408447,-0.7120777368545532
test,2.0,1,sinusoidal_lateral,y,12872,-1.3837511325295553,-1.3703792095184326,-1.6272021532058716,-1.1588033437728882,-2.258420467376709,-0.8535765409469604
test,2.0,1,sinusoidal_lateral,z,12872,-3.4025735808796878,-3.3807302713394165,-3.926494288444519,-2.9048651695251464,-5.0,-2.125084638595581
test,4.0,1,sinusoidal_lateral,x,11088,-1.1946611322360423,-1.1611359119415283,-1.7385017156600953,-0.6871600985527038,-2.6035170555114746,-0.18505550920963287
test,4.0,1,sinusoidal_lateral,y,11088,0.15419432094035412,0.16571198403835297,-0.2751704454421997,0.5600490927696229,-0.8737931251525879,0.9648754000663757
test,4.0,1,sinusoidal_lateral,z,11088,-2.6851131764991805,-2.6555391550064087,-3.1905046463012696,-2.2373127698898316,-4.462199687957764,-1.5698916912078857
test,1.0,2,accel_decel,x,6642,-3.2330231251073362,-3.22404944896698,-3.623466444015503,-2.8393794775009153,-4.153295993804932,-1.9300963878631592
test,1.0,2,accel_decel,y,6642,-3.4912691361141004,-3.4908491373062134,-3.8949822187423706,-3.1015202045440673,-4.449017524719238,-2.137329339981079
test,1.0,2,accel_decel,z,6642,-4.968336286583567,-5.0,-5.0,-4.91183910369873,-5.0,-3.3490610122680664
test,2.0,2,accel_decel,x,5942,-1.7247277020264538,-1.719078779220581,-1.9060759544372559,-1.5538439393043517,-2.2026925086975098,-0.9017751812934875
test,2.0,2,accel_decel,y,5942,-1.3650629679810034,-1.3592615723609924,-1.5340071439743042,-1.1995212793350218,-1.785865068435669,-0.8009087443351746
test,2.0,2,accel_decel,z,5942,-3.385024763606125,-3.3829078674316406,-3.774174451828003,-3.013232350349426,-4.343679904937744,-2.0669033527374268
test,4.0,2,accel_decel,x,4565,-1.2220255719479438,-1.2162680625915527,-1.3528522491455077,-1.0969988584518433,-1.5886987447738647,-0.9042690992355347
test,4.0,2,accel_decel,y,4565,0.1832429598172288,0.18285644054412842,0.12258893400430679,0.2534444630146027,-0.12195204198360443,0.4330922067165375
test,4.0,2,accel_decel,z,4565,-2.690077767523591,-2.677727699279785,-3.0045989036560057,-2.391307544708252,-3.495945692062378,-1.9445698261260986
test,1.0,3,ar1_velocity,x,8508,-3.388884051366204,-3.37575364112854,-3.894807505607605,-2.9060715436935425,-5.0,-1.8452999591827393
