method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,high,281,0.42704626334519574,0.5729537366548043,0.4092526690391459,0.9215092628813135,4.234099874626682,0.6809173232454846,105.0,29.097338469324445,0.309436438345087,0.3596354814051146,1.495601584318137,0.11621342600042191,0.0,2.322403566835167,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,medium,19,0.7368421052631579,0.2631578947368421,0.5789473684210527,0.9362280536588973,4.079043642244133,0.9905407522854052,110.42105263157895,35.803279159242074,0.3489409438216487,0.41736324426385474,1.4761305104724476,0.11901296179087775,0.0,1.9870449700521828,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,high,281,0.42704626334519574,0.5729537366548043,0.4092526690391459,0.9208184233999037,4.197988028042463,0.6818492761233099,104.84341637010677,29.073242845150798,0.3100916527237039,0.36107177137875957,1.4945769711440826,0.11589197377992362,0.0,2.291375279366882,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,medium,19,0.7368421052631579,0.2631578947368421,0.5789473684210527,0.9362280536588973,4.079043642244133,0.9905407522854052,110.42105263157895,35.803279159242074,0.3489409438216487,0.41736324426385474,1.4761305104724476,0.11901296179087775,0.0,1.9870449700521828,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,high,281,0.4234875444839858,0.5765124555160143,0.40569395017793597,0.9201823391865044,4.211231031918329,0.683153362964608,104.69750889679716,28.97927615165034,0.3097736768154575,0.36079500982887397,1.4945733386874673,0.11574021015440102,0.0,2.2943646881759223,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,medium,19,0.7368421052631579,0.2631578947368421,0.5789473684210527,0.9362280536588973,4.079043642244133,0.9905407522854052,110.42105263157895,35.803279159242074,0.3489409438216487,0.41736324426385474,1.4761305104724476,0.11901296179087775,0.0,1.9870449700521828,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,high,288,0.6180555555555556,0.3819444444444444,0.5972222222222222,0.9561596405254947,4.662221673368039,0.793757622802837,115.30902777777777,33.93849191496721,0.31017180047717274,0.3537652974718839,1.5417233235640306,0.15305038573342156,0.0,2.6743492156881086,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,medium,12,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.9066903262579911,4.397797059964993,0.8471684729059538,112.33333333333333,33.280733765754846,0.3837095228721485,0.42273707662567556,1.5475515111488978,0.1690558167526872,0.0,2.3309619331596045,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,high,287,0.6097560975609756,0.3902439024390244,0.5888501742160279,0.9559796659877222,4.648807703093717,0.7899095502776136,115.34146341463415,33.76702879699738,0.31157904092752264,0.3553516660080556,1.5416325445474353,0.153812476407032,0.0,2.664480688881199,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1001,medium,13,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.9122399223513719,4.389813868812107,0.8620923092732062,113.3076923076923,33.99058852973599,0.38017932160687445,0.4187205600765442,1.5503497154223373,0.17191253112036942,0.0,2.3098573448267263,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,high,287,0.6132404181184669,0.3867595818815331,0.5923344947735192,0.9559556992569217,4.659771637010028,0.7910754856643777,115.14285714285714,33.83800042834897,0.3106724123921683,0.3549120709340766,1.5415323412560666,0.15371538100072457,0.0,2.6647307056051774,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1002,medium,13,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.9122399223513719,4.389813868812107,0.8620923092732062,113.3076923076923,33.99058852973599,0.38017932160687445,0.4187205600765442,1.5503497154223373,0.17191253112036942,0.0,2.3098573448267263,0
