method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,adapter_output_64,0,852,54528,0,0,5.668619288525111,5.649357318878174,5.896064281463623,6.101742744445801,0.9994522698328528,0.9999819993972778,0.9999948143959045
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,linear,medium,0,1,0.2,full_aug_obs,0,867,26010,0,0,3.0819732008508334,3.142976760864258,3.4230408668518066,3.6580066680908203,1.0367002681052395,1.2801438570022583,1.478360652923584
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,obs_i_12,0,1998,23976,0,0,1.244955685403612,1.265170693397522,1.6293590068817139,2.0604124069213867,0.6830536389315093,0.8913237452507019,1.1470617055892944
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,delta_hat_9_after_scale,0,1998,17982,0,0,1.1249315212774385,1.2083038091659546,1.8819341659545898,2.650393486022949,0.8743926457411892,1.4302341938018799,2.051625967025757
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,logvar_raw_9_clamped,0,1998,17982,0,0,12.60447359085083,12.863490581512451,14.7515869140625,15.0,4.953027405180372,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,logvar_scaled_9_policy,0,1998,17982,0,0,2.520894733456162,2.57269823551178,2.9503173828125,3.0,0.9906054820205357,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,adapter_output_64,0,2019,129216,0,0,5.70914186588191,5.708981513977051,5.895768165588379,6.071507453918457,0.9997074010644944,0.9999867677688599,0.9999948740005493
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,ar1_velocity,medium,0,1,0.2,full_aug_obs,0,1998,59940,0,0,3.081514598550023,3.144761323928833,3.5214600563049316,4.172848701477051,1.0904059646365878,1.4302341938018799,2.051625967025757
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,obs_i_12,0,1515,18180,0,0,1.2864214185440894,1.2730615139007568,1.7329822778701782,1.9787734746932983,0.7152847640585192,0.9735298156738281,1.1722930669784546
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,delta_hat_9_after_scale,0,1515,13635,0,0,1.3017022746624334,1.3408188819885254,1.8924543857574463,2.2529358863830566,1.0236758202314378,1.4409539699554443,1.818518042564392
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,logvar_raw_9_clamped,0,1515,13635,0,0,13.277091618339615,13.585156440734863,14.865100860595703,15.0,4.992388831506862,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,logvar_scaled_9_policy,0,1515,13635,0,0,2.655418331316202,2.717031240463257,2.973020076751709,3.0,0.9984777663013723,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,adapter_output_64,0,1515,96960,0,0,5.660862237156028,5.657077312469482,5.850726127624512,6.011792182922363,0.9998353454146055,0.9999884366989136,0.9999942779541016
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,crossing_or_sudden_threat,medium,0,1,0.2,full_aug_obs,0,1515,45450,0,0,3.266063921994502,3.2897262573242188,3.590144395828247,3.833132743835449,1.134965167305257,1.4409539699554443,1.818518042564392
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,obs_i_12,0,429,5148,0,0,1.3249946732621092,1.2833027839660645,1.8442180156707764,1.9846646785736084,0.7158267133997315,1.047885775566101,1.0869523286819458
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,delta_hat_9_after_scale,0,429,3861,0,0,1.349851877053023,1.3266925811767578,2.158841371536255,2.4076781272888184,1.002277729950307,1.5922374725341797,1.8870855569839478
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,logvar_raw_9_clamped,0,429,3861,0,0,13.275295095288115,13.57252311706543,14.411663055419922,14.65030574798584,4.996927251348962,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,logvar_scaled_9_policy,0,429,3861,0,0,2.655059040565313,2.7145047187805176,2.8823328018188477,2.9300613403320312,0.9993854505476696,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,adapter_output_64,0,438,28032,0,0,5.677985473310566,5.689858913421631,5.828581309318542,5.84695291519165,0.9998124636471544,0.9999871253967285,0.9999909400939941
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_id,accel_decel,medium,0,1,0.2,full_aug_obs,0,429,12870,0,0,3.3010341137439223,3.3381853103637695,3.6980113983154297,3.980534076690674,1.1506638593607015,1.5922374725341797,1.8870855569839478
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,obs_i_12,0,32181,386172,0,0,1.3862515217324929,1.377105951309204,1.8614001274108887,2.3223876953125,0.8387617098048248,1.0785338878631592,1.4703410863876343
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,delta_hat_9_after_scale,0,32181,289629,0,0,1.2471859335694688,1.2718617916107178,1.9981101751327515,3.4905648231506348,0.9698706968023848,1.5064237117767334,3.119633674621582
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,logvar_raw_9_clamped,0,32181,289629,0,0,12.965473699094066,13.387100219726562,14.705547332763672,15.0,4.966542031039601,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,logvar_scaled_9_policy,0,32181,289629,0,0,2.593094747377514,2.677419900894165,2.9411094188690186,3.0,0.9933084066631832,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,adapter_output_64,0,32407,2074048,0,0,5.655103445943299,5.65955924987793,5.865116119384766,6.100088596343994,0.9997891857670623,0.9999877214431763,0.9999968409538269
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,full_aug_obs,0,32181,965430,0,0,3.240421470544177,3.277737617492676,3.7089831829071045,4.954235076904297,1.1349473400159826,1.5064237117767334,3.119633674621582
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,obs_i_12,0,16257,195084,0,0,1.3829744596348452,1.3679773807525635,1.8375301361083984,2.242091417312622,0.8176555586358369,1.0449861526489255,1.4465445280075073
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,delta_hat_9_after_scale,0,16257,146313,0,0,1.2846953531580194,1.3012489080429077,1.940420341491697,3.318758726119995,1.0043201644172721,1.4863395690917969,2.7144076824188232
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,logvar_raw_9_clamped,0,16257,146313,0,0,12.768458120950644,13.142513275146484,14.420441627502441,15.0,4.970866719713039,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,logvar_scaled_9_policy,0,16257,146313,0,0,2.5536916335365123,2.62850284576416,2.8840882778167725,3.0,0.9941733444412381,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,adapter_output_64,0,16290,1042560,0,0,5.653384645853107,5.669149875640869,5.8525872230529785,6.003947734832764,0.99983018674025,0.9999874234199524,0.999996542930603
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,full_aug_obs,0,16257,487710,0,0,3.2124220929316225,3.2550058364868164,3.6657040119171143,4.789975166320801,1.1280432011710546,1.4863395690917969,2.7144076824188232
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,obs_i_12,0,42438,509256,0,0,1.3624484707432871,1.3590801358222961,1.8321596562862403,2.4154140949249268,0.8231445807733445,1.03109610080719,1.4222116470336914
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,delta_hat_9_after_scale,0,42438,381942,0,0,1.2145097274662422,1.2693350315093994,1.9603281021118164,3.1105732917785645,0.948516238563848,1.5099753141403198,2.552628755569458
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,logvar_raw_9_clamped,0,42438,381942,0,0,13.007099154319226,13.435144424438477,14.68860149383545,15.0,4.968049634328251,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,logvar_scaled_9_policy,0,42438,381942,0,0,2.601419839164787,2.687029004096985,2.937720537185669,3.0,0.9936099273822294,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,adapter_output_64,0,42160,2698240,0,0,5.6548220601095425,5.659992218017578,5.870800304412842,6.11074686050415,0.999799445904862,0.9999898672103882,0.9999973773956299
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,full_aug_obs,0,42438,1273140,0,0,3.22411375299094,3.2655253410339355,3.676819086074829,4.6348066329956055,1.1260022296269105,1.5099753141403198,2.552628755569458
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,obs_i_12,0,28222,338664,0,0,1.380900825231995,1.372614860534668,1.8390576839447021,2.2768564224243164,0.835314771812429,1.052853310108184,1.4385957717895508
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,delta_hat_9_after_scale,0,28222,253998,0,0,1.2640690960334016,1.314458966255188,1.9946508407592773,3.3264384269714355,0.9768286293727458,1.500659465789795,2.780120611190796
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,logvar_raw_9_clamped,0,28222,253998,0,0,13.135377552784544,13.465068340301514,14.73471450805664,15.0,4.98048400568021,5.0,5.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,logvar_scaled_9_policy,0,28222,253998,0,0,2.627075515640474,2.6930136680603027,2.9469428062438965,3.0,0.9960968014950806,1.0,1.0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,adapter_output_64,0,28159,1802176,0,0,5.637227016025496,5.638393878936768,5.848724460601806,6.0396528244018555,0.9997941852610763,0.9999901652336121,0.9999986290931702
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,high,0,1,0.2,full_aug_obs,0,28222,846660,0,0,3.272244110527117,3.3086535930633545,3.694661211967466,4.738412857055664,1.1452653539522053,1.500659465789795,2.780120611190796
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,1000000,1000k,eval_flow_high_density,ar1_velocity,medium,0,1,0.2,obs_i_12,0,1841,22092,0,0,1.260112222253726,1.2497819662094116,1.6063748598098755,2.1100149154663086,0.6730912741858437,0.8890945911407471,1.1177197694778442
