method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,linear,36,0.5555555555555556,0.4444444444444444,0.5,0.9390486387947933,5.497493534007263,0.8805684712198045,112.13888888888889,32.199683847202714,0.22785010310734843,0.2557539205437135,1.557006936594379,0.09408145740753898,0.0,3.635221231296809,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,sinusoidal_lateral,73,0.6027397260273972,0.3972602739726027,0.547945205479452,0.9535877353287527,5.277117937839262,0.795226126909256,114.73972602739725,33.726974240406044,0.2466765524138247,0.2864535886925497,1.5601570007642802,0.09770307928429274,0.0,3.469091942585692,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,accel_decel,63,0.5873015873015873,0.4126984126984127,0.49206349206349204,0.9623701914175332,5.52897540079172,0.8348529490213545,114.58730158730158,33.59287608410579,0.21705555784739883,0.2516807223405272,1.5551362871607803,0.0955693621363936,0.0,3.730376794337432,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,ar1_velocity,75,0.49333333333333335,0.5066666666666667,0.4533333333333333,0.9439810970923826,5.421508705834668,0.7131125100453695,112.36,31.212583662828905,0.23700889763603125,0.2658399889203817,1.5601488409086857,0.0955930786870741,0.0,3.546385287542598,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,crossing_or_sudden_threat,53,0.6037735849056604,0.39622641509433965,0.5660377358490566,0.9534978230235953,5.522176916443273,0.7876329725643374,114.09433962264151,33.774519059471196,0.2487970319026726,0.2796455030487536,1.5592055241662268,0.09839121441079411,0.0,3.6132349574352824,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,linear,36,0.5555555555555556,0.4444444444444444,0.5,0.9390486387947933,5.497493534007263,0.8805684712198045,112.13888888888889,32.199683847202714,0.22785010310734843,0.2557539205437135,1.557006936594379,0.09408145740753898,0.0,3.635221231296809,0
no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,sinusoidal_lateral,73,0.6164383561643836,0.3835616438356164,0.547945205479452,0.9558714453263946,5.257322802552234,0.8184935789402217,115.17808219178082,34.07901252819101,0.24659641371026542,0.2876912864475212,1.5597881795561468,0.09817433145754205,0.0,3.4509401569807636,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,accel_decel,53,0.5660377358490566,0.4339622641509434,0.41509433962264153,0.9726698060329158,4.749017503147095,0.9351682111902057,116.75471698113208,33.63759208423503,0.21016894531231123,0.25036756935925414,1.487029774242876,0.12332700703011669,0.0,2.9218691228961626,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,ar1_velocity,61,0.7377049180327869,0.26229508196721313,0.6721311475409836,0.9469390022505944,4.72717875206623,0.9129728132584056,116.37704918032787,36.13149447528771,0.22474418990605435,0.2686197521797883,1.4888904333128734,0.121358517565232,0.0,2.8646410866666994,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,crossing_or_sudden_threat,50,0.72,0.28,0.6,0.9612527423932717,4.806513126609609,0.9754724043607712,119.28,36.29190166176845,0.21615963062335855,0.2592831249001446,1.494127370252315,0.1246240619633565,0.0,2.878620580952344,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,linear,57,0.543859649122807,0.45614035087719296,0.47368421052631576,0.9487669492224061,4.747719170560717,0.7802331557399348,113.42105263157895,32.27664889537672,0.24596640319762403,0.2868141939538996,1.4922227185864567,0.12221450366240842,0.0,2.8361618852216495,0
p3_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,sinusoidal_lateral,79,0.5949367088607594,0.4050632911392405,0.5189873417721519,0.9520300319076632,4.683810879293338,0.7955488743661325,114.25316455696202,33.499721126772315,0.2352629273912156,0.2831782675907129,1.4895120774862973,0.1222386664256642,0.0,2.7570628298659465,0
