method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,750000,mixed_uncertainty,2.0,50,0.8,0.2,0.20000000000000007,0.20000000000000007,0.0,0.9916217803955079,0.5,0.98,0.09284546835348007,2.400016155160346,2.5226662612248054,2.879957478246916,0.06263403158751084,0.06056878092477083,8.652000000000001,0.450806912779808,0.6651051640510559,0.3029562532901764,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step750000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step750000_mixed.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,1000000,eval_random_switch,2.0,50,1.0,0.0,,,,2.218117175102234,0.0,0.44,0.0010774515957518679,0.06160005382360218,0.11842881327488392,0.2842057877246731,0.0006405214668426537,0.0006404860007636547,8.307999999999998,1.7518079042434693,1.8704881668090823,1.4668904542922974,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step1000000_random.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,1000000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.747461631298065,0.0,0.74,0.012067035703291215,0.4764513217978788,0.5124879402094343,0.6242208667140972,0.003333776920610446,0.0033120046261387428,9.216000000000001,1.309753131866455,1.5081262588500977,1.209923505783081,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step1000000_hard.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,1000000,eval_sudden_turn,2.0,50,1.0,0.0,0.21600000000000008,0.21600000000000008,0.0,2.0608789277076722,0.0,0.4,0.001439898863732185,0.03384500280690897,0.10444539703608957,0.5095428790645116,0.0008475855290452898,0.0008469553327682594,8.404000000000002,1.7461745023727415,1.9172394871711733,1.2861772775650024,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step1000000_sudden.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,1,1000000,mixed_uncertainty,2.0,50,0.82,0.18,0.2240000000000001,0.2240000000000001,0.0,1.0189517718553542,0.52,1.0,0.10460044645529702,2.393383938344906,2.5375294301352764,2.679167089224862,0.03842609637775229,0.03760240040139233,10.788000000000002,0.4529825210571289,0.6435737907886505,0.363183856010437,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s1_step1000000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s1_step1000000_mixed.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,2,250000,eval_random_switch,2.0,50,0.46,0.0,,,,3.0364733541011812,0.04,0.14,0.0014362400535901493,0.05098086640342827,0.2607014509560732,1.4952522705166338,0.0008541567951577956,0.0008541566662413051,28.96,1.7074853539466859,2.3290651440620422,0.7771949172019958,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s2_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s2_step250000_random.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,2,250000,eval_random_switch_hard,2.0,50,0.06,0.0,,,,2.2136193037033083,0.0,0.34,0.0011813363662440538,0.3115874623675907,0.43409332425973407,0.5101278148661237,0.0003081613678683635,0.00030811284775679205,38.248000000000005,1.4337321758270263,1.673096239566803,1.285767674446106,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s2_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s2_step250000_hard.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,2,250000,eval_sudden_turn,2.0,50,0.4,0.0,0.20000000000000007,0.20000000000000007,0.0,2.799286618232727,0.0,0.14,9.004328658192685e-05,0.012352161493693356,0.022951511964706066,0.1431433249322822,7.872437455536304e-05,7.872437440807433e-05,31.28,1.8811955451965334,2.099364697933197,1.61884605884552,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s2_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s2_step250000_sudden.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,2,250000,mixed_uncertainty,2.0,50,0.48,0.0,0.20000000000000007,0.20000000000000007,0.0,2.5480573070049286,0.04,0.26,0.0041206223239714625,0.27823849696040387,0.6878693249853475,1.7804927587278598,0.0009428407644860324,0.0009428407644860309,34.808,1.4726174592971801,1.9942899644374847,0.6656489372253418,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s2_step250000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s2_step250000_mixed.csv
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,2,500000,eval_random_switch,2.0,50,1.0,0.0,,,,2.7955695104599,0.0,0.2,0.00023586690855153522,0.019823753277263666,0.03758450293274429,0.2586563741516698,6.632978367377245e-05,6.609923619208018e-05,9.048,1.8413889050483705,2.046082675457001,1.4914172887802124,checkpoints/p1_5_distance_wide/attention_full_distance_penalty_wide_d2_s2_step500000.zip,results/p1_5_distance_wide/eval/attention_full_distance_penalty_wide_d2_s2_step500000_random.csv
