method,step,scenario,seed_count,d_warning,mean_success_rate,std_success_rate,mean_collision_rate,std_collision_rate,mean_reaction_time_eval_style,std_reaction_time_eval_style,mean_reaction_time_nan_style,std_reaction_time_nan_style,mean_nan_reaction_rate,std_nan_reaction_rate,mean_mean_min_distance,std_mean_min_distance,mean_near_miss_rate,std_near_miss_rate,mean_distance_warning_cost_nonzero_rate,std_distance_warning_cost_nonzero_rate,mean_distance_warning_cost_mean,std_distance_warning_cost_mean,mean_distance_warning_cost_p90,std_distance_warning_cost_p90,mean_distance_warning_cost_p95,std_distance_warning_cost_p95,mean_distance_warning_cost_max,std_distance_warning_cost_max,mean_risk_sum_mean,std_risk_sum_mean,mean_risk_max_mean,std_risk_max_mean,mean_mean_time,std_mean_time
attention_full,750000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,7.102666666666668,5.169313042690812,0.5278772021629166,0.10497291240207202,0.18000000000000002,0.1442220510185596,1.0762009453773498,0.09356949200599009,0.43333333333333335,0.16041612554021284,0.43333333333333335,0.16041612554021284,0.00023922309848177923,0.00012852222064465568,0.018500089505889602,0.008056415961847684,0.031952506056804886,0.009635830195851984,0.05560743087556114,0.006536891569598961,0.0518095518511836,0.019521567833030207,0.05043634085513376,0.01824826191975046,6.854666666666667,0.10600628912160473
attention_full,750000,mixed_uncertainty,3,1.0,0.8533333333333334,0.09237604307034007,0.1466666666666667,0.09237604307034013,1.114666666666667,0.6037262072606534,0.6310204081632654,0.2267669295036973,0.013333333333333334,0.011547005383792516,0.8959508671363196,0.08390776280397325,0.6666666666666666,0.19731531449264988,0.6666666666666666,0.19731531449264988,0.0035162659753171666,0.0019397646843164191,0.1923226324066211,0.12520216743885912,0.2587686569804883,0.12999675491755114,0.3651894329231065,0.1300410505607796,0.10052944106787128,0.02761605156765765,0.0996630898796138,0.027595383263183917,6.9493333333333345,0.1711295805328041
attention_full,1000000,eval_random_switch,3,1.0,0.9866666666666667,0.011547005383792525,0.013333333333333334,0.011547005383792516,,,,,,,1.2791327530145644,0.17856878938967957,0.44,0.06928203230275509,0.44,0.06928203230275509,0.0007778213477802708,0.00029034640135167816,0.03431595328381299,0.0011732602707119587,0.046849409270218974,0.013348502694434019,0.3134867887112499,0.18994922136172504,0.060367454637899685,0.0036513538584513833,0.05878159636318295,0.0033221602045070556,6.728000000000001,0.06235382907247964
attention_full,1000000,eval_random_switch_hard,3,1.0,0.9466666666666667,0.05033222956847166,0.05333333333333334,0.050332229568471665,,,,,,,0.7942911756038665,0.026784479168326734,0.9466666666666667,0.030550504633038912,0.9466666666666667,0.030550504633038912,0.010540529526591963,0.006188506269232245,0.18070036606486983,0.01678256998877206,0.21258565146302696,0.04531908822551988,0.2697924156979455,0.08686710317608796,0.13909188988308108,0.03982470658461232,0.13205267653490105,0.03889365623860329,6.398666666666667,0.34092423400710825
attention_full,1000000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,7.158666666666668,2.816640078769976,0.9076062320248369,0.19305369778955855,0.17333333333333334,0.07571877794400365,0.9916351107756297,0.07197311845745434,0.64,0.1039230484541326,0.64,0.1039230484541326,0.0007408380200365368,0.000320430335470116,0.04369820550265587,0.02055893392491156,0.05857495936896804,0.02738467319782038,0.08964766241712725,0.024014674741144586,0.07403552944306281,0.01074413731060691,0.07132772955500206,0.010192104448694613,6.778666666666667,0.05143280405862813
attention_full,1000000,mixed_uncertainty,3,1.0,0.8799999999999999,0.07999999999999996,0.12,0.08,0.8213333333333336,0.3781498821014407,0.5781768707482995,0.057415172324483364,0.006666666666666667,0.011547005383792516,0.875219895641009,0.12418552648819163,0.7400000000000001,0.19697715603592209,0.7400000000000001,0.19697715603592209,0.00403987615799353,0.0020752175757709516,0.1679063051695533,0.10598872120281676,0.2145702078924968,0.1120655735786498,0.4276453687375274,0.03992194895735775,0.11901173485627319,0.03337472776818107,0.11755638693711562,0.03340383823708248,6.84,0.0634980314655504
attention_full_distance_penalty_d1,250000,eval_random_switch,3,1.0,1.0,0.0,0.0,0.0,,,,,,,1.7559583497047424,0.1769433566685866,0.03333333333333333,0.011547005383792516,0.03333333333333333,0.011547005383792516,9.060329327135664e-06,1.4094850307279046e-05,0.0,0.0,0.0,0.0,0.007898170423370434,0.010827078704514242,0.013162552327232254,0.0019896603069036313,0.013079044073568713,0.0019269728117456552,7.355999999999999,0.03174901573277512
attention_full_distance_penalty_d1,250000,eval_random_switch_hard,3,1.0,1.0,0.0,0.0,0.0,,,,,,,1.0906242430210114,0.013246873869198185,0.32666666666666666,0.07023769168568493,0.32666666666666666,0.07023769168568493,0.0005045440507338621,0.0003945635783822372,0.02374236505954728,0.01845167088683941,0.04185744032785669,0.02992654734110748,0.09805325171171474,0.036322207334502137,0.03129239799299583,0.006246013177325306,0.030652858257914542,0.006164048557899889,7.3839999999999995,0.12942951749890733
attention_full_distance_penalty_d1,250000,eval_sudden_turn,3,1.0,1.0,0.0,0.0,0.0,0.2693333333333334,0.02052640575778753,0.2693333333333334,0.02052640575778753,0.0,0.0,1.4889798287550609,0.04879634012610983,0.06,0.05291502622129181,0.06,0.05291502622129181,2.211143746573315e-05,3.198051319764725e-05,2.698734010782763e-06,4.67434442278988e-06,0.000741305538112861,0.001283978855943662,0.016280814607214898,0.016327060059703538,0.01264731667784715,0.005044285644396693,0.012448107354765934,0.00475239334673976,7.426666666666667,0.11574685020912336
attention_full_distance_penalty_d1,250000,mixed_uncertainty,3,1.0,0.9,0.034641016151377574,0.10000000000000002,0.03464101615137755,0.26266666666666677,0.07114304838375522,0.26266666666666677,0.07114304838375522,0.0,0.0,0.9206784311930338,0.08748565157217801,0.6866666666666666,0.14742229591663988,0.6866666666666666,0.14742229591663988,0.0032708458979149395,0.0014904122231215917,0.1759262776055085,0.07978613151030332,0.26837568759748015,0.04311431141115575,0.37595960445192284,0.0507626494653481,0.08152460653302564,0.025606281063347152,0.08053578979225506,0.024907984120751202,7.336000000000001,0.10998181667894036
