method,raw_method,seed,step,scenario,d_warning,episodes,success_rate,collision_rate,reaction_time_eval_style,reaction_time_nan_style,nan_reaction_rate,mean_min_distance,near_miss_rate,distance_warning_cost_nonzero_rate,distance_warning_cost_mean,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_max_mean,mean_time,min_distance_p10,min_distance_p25,min_distance_min,checkpoint_path,eval_csv_path,sweep_label
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,250000,eval_random_switch,2.0,50,0.1,0.02,,,,2.605376636981964,0.06,0.18,0.0029291781129722892,0.09883714978012975,0.9890878604867407,2.4056771738112417,0.0020439806469544144,0.0020365639318965702,37.968,1.687633538246155,2.043503701686859,0.4489754438400268,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step250000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step250000_random.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,250000,eval_random_switch_hard,2.0,50,0.02,0.18,,,,1.2850597932934762,0.3,0.86,0.03153291789690765,2.1343003464209622,2.320494920322374,3.2370030458318824,0.026758675236005683,0.023230367478599835,36.728,0.5390796720981598,0.8554741740226746,0.2008326798677444,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step250000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step250000_hard.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,250000,eval_sudden_turn,2.0,50,0.14,0.0,0.20000000000000007,0.20000000000000007,0.0,2.3818694710731507,0.0,0.24,0.0015693896322045379,0.22420677243312803,0.4106945000436901,0.7835516458549705,0.0016354235194974036,0.001605744693086938,36.808,1.5285495638847353,1.8961595594882965,1.1148154735565186,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step250000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step250000_sudden.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,250000,mixed_uncertainty,2.0,50,0.3,0.04,0.20000000000000007,0.20000000000000007,0.0,1.9814840430021285,0.2,0.42,0.01707587603130376,1.6109697452443827,1.9764177870102433,2.5105807977533914,0.009126074472477952,0.009125968893093446,36.472,0.7309983372688293,1.1249483227729797,0.4155187606811523,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step250000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step250000_mixed.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch,2.0,50,1.0,0.0,,,,2.481542613506317,0.0,0.1,0.0003385146304935874,8.665969508001123e-05,0.025008334150630317,0.2343488704622274,4.367169819520975e-05,4.361142339024257e-05,8.976,1.897677159309387,2.087743759155274,1.5053765773773191,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step500000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step500000_random.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,500000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.888380479812622,0.02,0.58,0.010157416939255174,0.4516598820337009,0.4905109237441223,1.0829224224019072,0.0014326912183194062,0.0014322869530074484,9.919999999999998,1.3279702186584472,1.6319436728954315,0.959364414215088,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step500000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step500000_hard.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,500000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,2.3171388363838195,0.0,0.22,0.0015247977434773852,0.04272669630531995,0.21895781010051435,0.3545564955386595,0.0004907121664977428,0.000490711857657906,9.075999999999999,1.677133309841156,1.926600575447083,1.4045535326004028,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step500000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step500000_sudden.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,500000,mixed_uncertainty,2.0,50,0.86,0.14,0.20000000000000007,0.20000000000000007,0.0,1.1134017294645309,0.44,0.98,0.07966046317451397,2.196272173755375,2.4202423702095044,2.732803406263643,0.045929788320141364,0.043473807411230594,8.604000000000001,0.5180178880691528,0.8597191870212555,0.346880704164505,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step500000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step500000_mixed.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,750000,eval_random_switch,2.0,50,1.0,0.0,,,,2.1610974717140197,0.0,0.4,0.000565300003432302,0.04349203886104355,0.056050248853304556,0.2271952221363449,0.00014389984790719456,0.00014374368463544138,8.716000000000001,1.7914552211761474,1.9058915972709656,1.5053765773773191,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step750000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step750000_random.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,750000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.692935781478882,0.0,0.92,0.014349199639022982,0.4594039293777897,0.5246029746688499,0.6452168103283498,0.004030645767033966,0.004024576116780702,9.504000000000001,1.3221933364868164,1.4767926335334778,1.1967461109161377,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step750000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step750000_hard.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,750000,eval_sudden_turn,2.0,50,1.0,0.0,0.20000000000000007,0.20000000000000007,0.0,1.994805543422699,0.0,0.52,0.0021543886703829936,0.15625216611123563,0.17627142030367784,0.227819432418542,0.0009174877333614757,0.0009174564998866068,8.692,1.598508644104004,1.8056811690330505,1.5226956605911257,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step750000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step750000_sudden.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,750000,mixed_uncertainty,2.0,50,0.86,0.14,0.20000000000000007,0.20000000000000007,0.0,1.2156662821769715,0.36,0.92,0.08900320617807661,2.154378024321119,2.271182203221135,2.4037274652532723,0.030442198288888927,0.030364535712536726,9.384,0.5322266817092896,0.7956093996763229,0.4496040940284729,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step750000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step750000_mixed.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,1000000,eval_random_switch,2.0,50,1.0,0.0,,,,2.1519343185424806,0.0,0.36,0.0009144198876341991,0.029721598045104228,0.07068574478169286,0.2445779236671938,0.00017264673691984916,0.0001724574867589173,8.260000000000002,1.780610740184784,1.9328728020191188,1.5053765773773191,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step1000000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step1000000_random.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,1000000,eval_random_switch_hard,2.0,50,1.0,0.0,,,,1.8567125511169433,0.0,0.6,0.005719156478335179,0.35623843945563755,0.4687618779915304,0.4843215572464601,0.0011930780617838027,0.0011926462655607157,9.368,1.4031836509704587,1.6272085905075073,1.304067850112915,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step1000000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step1000000_hard.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,1000000,eval_sudden_turn,2.0,50,1.0,0.0,0.2720000000000001,0.2720000000000001,0.0,2.0372200560569764,0.0,0.46,0.001189388217153445,0.07455298169278712,0.1659924939203846,0.2318916444753682,0.00022711388270291925,0.0002270468006847099,8.276,1.6396934628486632,1.8939483761787415,1.5184487104415894,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step1000000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step1000000_sudden.csv,d2.0
attention_full_distance_penalty_wide_d2,attention_full_distance_penalty_wide_d2,0,1000000,mixed_uncertainty,2.0,50,0.92,0.08,0.20000000000000007,0.20000000000000007,0.0,1.2407325100898743,0.34,0.92,0.07627102920079774,1.8954184413899176,2.1838273812773283,2.883143726898485,0.029613636891713018,0.02961274009743171,8.776,0.6232780635356903,0.8204412162303925,0.3020177483558655,checkpoints/p0_5_distance_wide/attention_full_distance_penalty_wide_s0_step1000000.zip,results/p0_5_distance_wide/eval/attention_full_distance_penalty_wide_s0_step1000000_mixed.csv,d2.0
