method_key,method,steps,episode_reward,episode_length,wall_time,variant,training_seed,learning_rate
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,30876,12.681699,174,2026-05-16 17:18:21,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,30968,13.034457,168,2026-05-16 17:18:22,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,30976,12.906358,158,2026-05-16 17:18:22,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,31012,34.364621,158,2026-05-16 17:18:22,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,31448,14.813398,143,2026-05-16 17:18:23,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,31648,13.205443,170,2026-05-16 17:18:24,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,31676,12.615147,175,2026-05-16 17:18:24,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,31760,12.565292,187,2026-05-16 17:18:24,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,32196,12.085899,187,2026-05-16 17:18:26,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,32320,35.102954,161,2026-05-16 17:18:26,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,32364,12.193619,179,2026-05-16 17:18:27,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,32476,33.324225,179,2026-05-16 17:18:27,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,32868,12.565979,168,2026-05-16 17:18:30,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33008,33.605628,161,2026-05-16 17:18:31,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33048,12.000184,182,2026-05-16 17:18:31,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33120,0.016934,63,2026-05-16 17:18:31,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33140,12.67476,166,2026-05-16 17:18:31,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33632,13.900867,146,2026-05-16 17:18:33,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33764,-2.035305,33,2026-05-16 17:18:33,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33772,34.039092,163,2026-05-16 17:18:33,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33788,11.777757,195,2026-05-16 17:18:33,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33876,11.686158,184,2026-05-16 17:18:34,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,33900,-5.833945,28,2026-05-16 17:18:34,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34448,14.500881,137,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34504,12.036277,183,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34508,31.861366,186,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34536,33.665283,165,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34616,-4.162699,27,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,34648,-5.948459,28,2026-05-16 17:18:36,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35008,10.862094,126,2026-05-16 17:18:38,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35068,6.986951,105,2026-05-16 17:18:38,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35132,12.902984,171,2026-05-16 17:18:38,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35208,35.652572,148,2026-05-16 17:18:39,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35316,1.027933,77,2026-05-16 17:18:39,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35700,14.725044,158,2026-05-16 17:18:40,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35720,35.185151,147,2026-05-16 17:18:40,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35920,13.548839,178,2026-05-16 17:18:41,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,35936,13.036966,155,2026-05-16 17:18:41,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36020,-4.962734,25,2026-05-16 17:18:41,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36048,6.843499,87,2026-05-16 17:18:41,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36308,35.43988,147,2026-05-16 17:18:42,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36600,34.316418,166,2026-05-16 17:18:43,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36672,13.081447,163,2026-05-16 17:18:44,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36700,13.553541,163,2026-05-16 17:18:44,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36948,3.044522,69,2026-05-16 17:18:46,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,36964,33.875784,164,2026-05-16 17:18:46,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37140,6.944972,110,2026-05-16 17:18:47,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37328,11.837481,182,2026-05-16 17:18:48,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37352,5.703166,97,2026-05-16 17:18:48,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37480,-5.645436,32,2026-05-16 17:18:48,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37620,13.459201,168,2026-05-16 17:18:49,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37768,14.823158,157,2026-05-16 17:18:49,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37864,-6.207285,24,2026-05-16 17:18:50,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,37908,3.081109,72,2026-05-16 17:18:50,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,38020,33.613877,173,2026-05-16 17:18:50,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,38040,15.232358,140,2026-05-16 17:18:50,stab_s1_lr1e4,2,0.0001
stab_s1_lr1e4,n3pf_stab_s1_lr1e4_block_projected_no_z,38424,15.061466,140,2026-05-16 17:18:52,stab_s1_lr1e4,2,0.0001
