method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_logvar,logvar_output_scale,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,ar1_velocity,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,obs_i_12,0,9619,115428,0,0,1.3850568383792692,1.3682911396026611,1.870404064655304,2.3743093013763428,0.826660276215269,1.0605738282203676,1.4727975130081177
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,delta_hat_9_after_scale,0,9619,86571,0,0,1.233254370673188,1.2249119281768799,1.9232886672019962,3.2402398586273193,0.980752094994914,1.5565254211425783,2.9428622722625732
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,logvar_raw_9_clamped,0,9619,86571,0,0,13.25557477960766,13.709351539611816,14.721076011657715,15.0,4.966860598617587,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,logvar_scaled_9_policy,0,9619,86571,0,0,13.25557477960766,13.709351539611816,14.721076011657715,15.0,4.966860598617587,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,full_aug_obs,0,9619,288570,0,0,13.394231132043723,13.859654426574707,14.832114791870117,15.120757102966309,4.966860598617587,5.0,5.0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,high,1,1.0,raw_concat,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,medium,1,1.0,raw_concat,obs_i_12,0,298,3576,0,0,1.2794177630203682,1.2365609407424927,1.7888877153396605,2.1628878116607666,0.7468245043450554,1.0860595285892487,1.3104325532913208
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,medium,1,1.0,raw_concat,delta_hat_9_after_scale,0,298,2682,0,0,1.0518881757087355,1.084536850452423,1.6103515505790709,1.8130537271499634,0.8089483812351355,1.2879515469074247,1.549349308013916
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,eval_flow_high_density,linear,medium,1,1.0,raw_concat,logvar_raw_9_clamped,0,298,2682,0,0,12.895247168188927,13.876921653747559,14.706834173202514,15.0,4.850387150809269,5.0,5.0
