method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_best_by_eval,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/best_by_eval.zip,1500000,best_by_eval,eval_flow_sudden_threat,50,0.66,0.34,0.64,0.9580691904215272,4.843802435202238,0.7758027130365371,118.08,34.799575400081224,0.31172438851377654,0.349554038921251,1.541017536906114,0.15372365009734698,0.0,2.7701038691553492,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_high_density,50,0.5,0.5,0.48,0.9164916956595729,4.407613550511536,0.7248187845945359,112.2,30.11756461980971,0.3574202380172402,0.40442575547442544,1.5613986696410362,0.15268404812179825,0.0,2.3773606142129715,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_high_speed,50,0.54,0.46,0.46,0.9443583006450829,5.0363376846864085,0.8214179229736328,117.24,31.93798575776062,0.2563076854719391,0.3044313450171007,1.5690387864498887,0.1402068257852781,0.0,3.1159126582933054,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_high_threat,50,0.64,0.36,0.62,0.9629838527552336,4.8580403085017165,0.8269617426395416,120.56,34.59701546960042,0.2879130476565902,0.32679830625423023,1.537244141204285,0.15363275163407947,0.0,2.941106910284587,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_id,50,0.7,0.3,0.68,0.9498105755573333,5.014993032189404,0.8489958328008652,112.52,35.362403347080395,0.31218509379797704,0.3482183711858433,1.554907186396258,0.1465835511660204,0.0,2.8736756869301945,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_mixed_ood,50,0.54,0.46,0.52,0.9387860269736475,4.585252439122206,0.7372601416707039,117.22,31.77134293893658,0.3195382299566987,0.3685459401889385,1.5520183813181019,0.15856118111569636,0.0,2.618750669131054,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/final.zip,1500000,final,eval_flow_sudden_threat,50,0.66,0.34,0.64,0.9580691904215272,4.843802435202238,0.7758027130365371,118.08,34.799575400081224,0.31172438851377654,0.349554038921251,1.541017536906114,0.15372365009734698,0.0,2.7701038691553492,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_high_density,50,0.44,0.56,0.44,0.8890579347679783,4.668378072023757,0.7326537418365479,99.44,28.093430802638874,0.3009819337265932,0.3402985754023271,1.5232129414168614,0.08728884608336542,0.0,2.6764190013582914,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_high_speed,50,0.52,0.48,0.4,0.9383388527321247,5.107480077135343,0.8443880316615104,111.74,31.519929541745444,0.20679689068055462,0.24679021326049588,1.5314397485207605,0.08983114313868266,0.0,3.360037198366494,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_high_threat,50,0.6,0.4,0.52,0.9592163917361366,5.265357481930405,0.8366121712327004,111.78,33.86321907470832,0.23638450590420323,0.2677093877194015,1.5026260176455428,0.0908160979298708,0.0,3.3869092259834916,0
