training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1001,medium,18,0.7222222222222222,0.2777777777777778,0.5555555555555556,0.9340837278740032,4.369312764340855,0.9818864978022046,106.5,34.848406050291516,0.303090042425451,0.3467513193597443,1.5609907462166792,0.12462479420364736,0.0,2.4171280821638508,0,nan
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1002,high,281,0.47686832740213525,0.5231316725978647,0.4555160142348754,0.9470059989394415,4.436601368630345,0.7229233764615771,103.61565836298932,30.45512565649893,0.28954742737097405,0.33217581952313063,1.556738569927454,0.11563776714373283,0.0,2.5600250157814575,0,nan
2,p3_s2_final,P3_block_projected_seed2_final,p3_s2_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/final.zip,1500000,final,1002,medium,19,0.6842105263157895,0.3157894736842105,0.5263157894736842,0.9351230980993501,4.347112206911619,0.9559987030531231,107.47368421052632,34.12564006168078,0.3090326717714799,0.35250124991975773,1.5576427751685802,0.13085627681199663,0.0,2.3911590807102727,0,nan
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,high,286,0.6083916083916084,0.3916083916083916,0.5734265734265734,0.959865486519135,4.861095008271964,0.8104875057518899,110.72027972027972,33.9513238083717,0.2888780714936989,0.3226799417091391,1.4617966235924256,0.1386890260924115,0.0,3.00766716040063,0,N3PF-V
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1000,medium,14,0.6428571428571429,0.3571428571428571,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.141172596998103,0.0,2.8449749233109443,0,N3PF-V
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,high,286,0.6013986013986014,0.3986013986013986,0.5664335664335665,0.9597966742028604,4.869850406931137,0.8104944097829032,110.72727272727272,33.80880344586748,0.2878684737115537,0.3222662483745397,1.464095531870576,0.1372758393545293,0.0,3.010855673959296,0,N3PF-V
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1001,medium,14,0.6428571428571429,0.3571428571428571,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.141172596998103,0.0,2.8449749233109443,0,N3PF-V
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,high,286,0.5944055944055944,0.4055944055944055,0.5594405594405595,0.9595167959836056,4.879473309382836,0.8083556511706406,110.4020979020979,33.663410464530905,0.2858085588194538,0.3204778203283637,1.4657394697184922,0.1364509969546028,0.0,3.0180213008180226,0,N3PF-V
-1,attention_full,attention_full_1500k,attention_full_1500k,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1002,medium,14,0.6428571428571429,0.3571428571428571,0.6428571428571429,0.9031878451497378,4.9078520021334935,0.8639081732503006,104.35714285714286,32.54871973533109,0.3435958676783129,0.3728922628374861,1.4629956734890024,0.141172596998103,0.0,2.8449749233109443,0,N3PF-V
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,high,287,0.5470383275261324,0.4529616724738676,0.494773519163763,0.9460715479959054,5.420383416383591,0.7779514980648453,113.14285714285714,32.322330325029,0.2403254766643355,0.2737300551868594,1.5598865351780369,0.0964038728127744,0.0,3.562591276537617,0,N3PF-V
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1000,medium,13,0.9230769230769232,0.0769230769230769,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201005,118.46153846153848,40.686106336647065,0.2271601435606465,0.2625857712003997,1.5547731376174776,0.1034127387348527,0.0,3.648545484428892,0,N3PF-V
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,high,287,0.5505226480836237,0.4494773519163763,0.4982578397212543,0.9467824022980516,5.424426500209001,0.777562739957085,113.11846689895472,32.41901384126354,0.2394623581205621,0.2723266063580808,1.559212243477212,0.0963421532714031,0.0,3.5702672379115503,0,N3PF-V
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1001,medium,13,0.9230769230769232,0.0769230769230769,0.7692307692307693,0.97008579203183,5.491964046002186,1.0601481371201005,118.46153846153848,40.686106336647065,0.2271601435606465,0.2625857712003997,1.5547731376174776,0.1034127387348527,0.0,3.648545484428892,0,N3PF-V
