training_seed,method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,obs_i_12,0,315,3780,0,0,1.4815494724682399,1.4811980724334717,1.776383638381958,1.9426348209381104,0.7705236100015186,0.9382565021514893,1.0391496419906616,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,delta_hat_9_after_scale,0,315,2835,0,0,1.497062740723292,1.5650053024291992,2.083277702331543,2.333077907562256,1.1233114270936875,1.6033427715301514,1.7833662033081055,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,logvar_raw_9_clamped,0,315,2835,0,0,12.298319294339134,12.336782455444336,14.00559139251709,14.457476615905762,4.987396247046334,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,logvar_scaled_9_policy,0,315,2835,0,0,2.459663871356419,2.4673564434051514,2.8011183738708496,2.8914954662323,0.9974792497498649,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,adapter_output_64,0,330,21120,0,0,5.611820910193703,5.60026741027832,5.814539909362793,5.865737438201904,0.9978365773504431,0.9999312162399292,0.999979555606842,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,medium,0,1,0.2,full_aug_obs,0,315,9450,0,0,3.2605315276554654,3.3012759685516357,3.8209147453308105,3.8540236949920654,1.2000544803483146,1.6033427715301514,1.7833662033081055,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,obs_i_12,0,32892,394704,0,0,1.3652953729296229,1.3484484553337097,1.875616192817688,2.3106110095977783,0.8245015131264551,1.07742178440094,1.4352368116378784,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,delta_hat_9_after_scale,0,32892,296028,0,0,1.3346047559126741,1.4025570154190063,2.0682315826416016,3.62963604927063,1.02534623014237,1.5149712562561035,3.086733341217041,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,logvar_raw_9_clamped,0,32892,296028,0,0,13.051486032745284,13.515546798706055,14.63822269439697,15.0,4.9639715437658305,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,logvar_scaled_9_policy,0,32892,296028,0,0,2.6102972147250343,2.7031095027923584,2.9276444792747496,3.0,0.9927943091761178,1.0,1.0,nan
