training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1000,eval_flow_sudden_threat,50,0.6,0.4,0.6,0.9789704259466165,4.807936303951534,0.793655457496643,114.54,33.90056365273792,0.3254980270865427,0.3575155557641285,1.5970695509186896,0.17218296183108106,0.0,2.7265015996394975,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_high_density,50,0.56,0.44,0.54,0.9512010329108646,4.242949294623751,0.7600996541976929,116.34,31.966799626393918,0.37593898118895036,0.41135939028231966,1.5869255543915441,0.18588479049615325,0.0,2.3375081125085697,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_high_speed,50,0.44,0.56,0.44,0.9642279291756581,4.252136853449738,0.6698377305269241,122.52,29.950722932288226,0.35054926798093106,0.3992104071864184,1.57827913420362,0.20762425121022277,0.0,2.3764549535015176,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_high_threat,50,0.62,0.38,0.56,0.952908646306851,4.707642694835897,0.8488493698835373,113.88,33.45388635046857,0.36085313703082983,0.4000583324611868,1.595838321470326,0.18109271043005568,0.0,2.653764999807787,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_id,50,0.7,0.3,0.6,0.969694319144053,4.932376994344418,0.9204312562942505,113.26,35.658423930129196,0.3242443731378229,0.3643283191527052,1.5950068673458582,0.163248410236986,0.0,2.780895626778616,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_mixed_ood,50,0.64,0.36,0.64,0.9444870701457532,4.403031484671137,0.8069874069094658,109.24,33.63372276401244,0.3570687019822037,0.4063967153179969,1.5980175169992321,0.1681154382758274,0.0,2.439175111548006,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1001,eval_flow_sudden_threat,50,0.6,0.4,0.6,0.9786979302110914,4.787525136614138,0.7889838063716889,114.82,33.890823203486185,0.3289891833389564,0.3604027110896866,1.597056846319448,0.17505462946229536,0.0,2.7061330444630802,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_high_density,50,0.56,0.44,0.54,0.9512469488792175,4.243187786669179,0.7606518340110778,116.36,31.957613384499563,0.37607604572350206,0.4116906295741529,1.58711717864168,0.18600324310802918,0.0,2.333504675627143,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_high_speed,50,0.44,0.56,0.44,0.9652604964741055,4.2473684192074765,0.6680058449506759,122.6,29.988707814940486,0.348307907002728,0.39959530883447797,1.5777743178641463,0.20726809000344035,0.0,2.366904731841342,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_high_threat,50,0.6,0.4,0.54,0.9524137847737603,4.724035181152894,0.8454738157987595,113.72,33.012276732125564,0.3587084680900444,0.397553303160041,1.5957244745651675,0.1809696649945211,0.0,2.6771002816686553,0,nan
