method_key,method,steps,episode_reward,episode_length,wall_time,training_seed
block_projected_s1,n3pf_ms_block_projected_seed1,43524,-5.925069,28,2026-05-15 18:49:49,1
block_projected_s1,n3pf_ms_block_projected_seed1,43596,13.306796,187,2026-05-15 18:49:50,1
block_projected_s1,n3pf_ms_block_projected_seed1,43736,-2.635643,35,2026-05-15 18:49:50,1
block_projected_s1,n3pf_ms_block_projected_seed1,43772,12.511805,179,2026-05-15 18:49:50,1
block_projected_s1,n3pf_ms_block_projected_seed1,43812,10.556656,204,2026-05-15 18:49:51,1
block_projected_s1,n3pf_ms_block_projected_seed1,44264,12.836527,185,2026-05-15 18:49:52,1
block_projected_s1,n3pf_ms_block_projected_seed1,44396,14.243089,156,2026-05-15 18:49:53,1
block_projected_s1,n3pf_ms_block_projected_seed1,44420,13.072664,171,2026-05-15 18:49:53,1
block_projected_s1,n3pf_ms_block_projected_seed1,44500,34.887786,172,2026-05-15 18:49:53,1
block_projected_s1,n3pf_ms_block_projected_seed1,44880,13.698402,154,2026-05-15 18:49:54,1
block_projected_s1,n3pf_ms_block_projected_seed1,45048,7.026723,137,2026-05-15 18:49:55,1
block_projected_s1,n3pf_ms_block_projected_seed1,45100,33.747087,176,2026-05-15 18:49:57,1
block_projected_s1,n3pf_ms_block_projected_seed1,45104,12.822719,171,2026-05-15 18:49:57,1
block_projected_s1,n3pf_ms_block_projected_seed1,45208,-6.006,27,2026-05-15 18:49:58,1
block_projected_s1,n3pf_ms_block_projected_seed1,45492,14.136649,153,2026-05-15 18:49:59,1
block_projected_s1,n3pf_ms_block_projected_seed1,45640,14.354754,148,2026-05-15 18:49:59,1
block_projected_s1,n3pf_ms_block_projected_seed1,45812,11.633873,177,2026-05-15 18:50:00,1
block_projected_s1,n3pf_ms_block_projected_seed1,45856,12.794861,162,2026-05-15 18:50:00,1
block_projected_s1,n3pf_ms_block_projected_seed1,46084,34.932331,148,2026-05-15 18:50:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,46304,13.830194,166,2026-05-15 18:50:01,1
block_projected_s1,n3pf_ms_block_projected_seed1,46376,14.765545,141,2026-05-15 18:50:02,1
block_projected_s1,n3pf_ms_block_projected_seed1,46480,35.377592,156,2026-05-15 18:50:02,1
block_projected_s1,n3pf_ms_block_projected_seed1,46580,-3.799797,25,2026-05-15 18:50:02,1
block_projected_s1,n3pf_ms_block_projected_seed1,46876,32.471868,198,2026-05-15 18:50:03,1
block_projected_s1,n3pf_ms_block_projected_seed1,46992,33.595379,172,2026-05-15 18:50:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,47036,13.443863,165,2026-05-15 18:50:04,1
block_projected_s1,n3pf_ms_block_projected_seed1,47168,14.701802,147,2026-05-15 18:50:05,1
block_projected_s1,n3pf_ms_block_projected_seed1,47488,35.666971,153,2026-05-15 18:50:06,1
block_projected_s1,n3pf_ms_block_projected_seed1,47596,13.683125,151,2026-05-15 18:50:06,1
block_projected_s1,n3pf_ms_block_projected_seed1,47668,12.642014,158,2026-05-15 18:50:06,1
block_projected_s1,n3pf_ms_block_projected_seed1,47808,5.297605,80,2026-05-15 18:50:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,47952,11.160169,196,2026-05-15 18:50:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,47964,4.250763,74,2026-05-15 18:50:07,1
block_projected_s1,n3pf_ms_block_projected_seed1,48088,-3.400214,34,2026-05-15 18:50:08,1
block_projected_s1,n3pf_ms_block_projected_seed1,48308,12.964814,178,2026-05-15 18:50:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,48396,13.845477,147,2026-05-15 18:50:09,1
block_projected_s1,n3pf_ms_block_projected_seed1,48556,35.308831,148,2026-05-15 18:50:10,1
block_projected_s1,n3pf_ms_block_projected_seed1,48680,-3.562301,31,2026-05-15 18:50:10,1
block_projected_s1,n3pf_ms_block_projected_seed1,48728,8.080656,105,2026-05-15 18:50:10,1
block_projected_s1,n3pf_ms_block_projected_seed1,48780,14.278306,173,2026-05-15 18:50:10,1
block_projected_s1,n3pf_ms_block_projected_seed1,48812,9.868343,104,2026-05-15 18:50:11,1
block_projected_s1,n3pf_ms_block_projected_seed1,49300,35.374053,155,2026-05-15 18:50:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,49320,12.729526,148,2026-05-15 18:50:14,1
block_projected_s1,n3pf_ms_block_projected_seed1,49468,34.318784,172,2026-05-15 18:50:15,1
block_projected_s1,n3pf_ms_block_projected_seed1,49520,32.830032,177,2026-05-15 18:50:15,1
block_projected_s1,n3pf_ms_block_projected_seed1,50008,33.035659,172,2026-05-15 18:50:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,50028,34.109465,182,2026-05-15 18:50:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,50104,10.32299,159,2026-05-15 18:50:17,1
block_projected_s1,n3pf_ms_block_projected_seed1,50312,11.768925,198,2026-05-15 18:50:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,50368,7.350025,90,2026-05-15 18:50:18,1
block_projected_s1,n3pf_ms_block_projected_seed1,50480,-4.333667,28,2026-05-15 18:50:19,1
block_projected_s1,n3pf_ms_block_projected_seed1,50644,16.166055,154,2026-05-15 18:50:19,1
block_projected_s1,n3pf_ms_block_projected_seed1,50740,-5.34531,24,2026-05-15 18:50:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,50876,12.755024,193,2026-05-15 18:50:20,1
block_projected_s1,n3pf_ms_block_projected_seed1,51064,11.823984,188,2026-05-15 18:50:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,51160,12.764281,170,2026-05-15 18:50:21,1
block_projected_s1,n3pf_ms_block_projected_seed1,51300,15.331311,140,2026-05-15 18:50:22,1
block_projected_s1,n3pf_ms_block_projected_seed1,51572,12.095033,127,2026-05-15 18:50:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,51604,32.730493,182,2026-05-15 18:50:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,51740,14.920149,145,2026-05-15 18:50:23,1
block_projected_s1,n3pf_ms_block_projected_seed1,51928,2.450964,81,2026-05-15 18:50:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,51968,13.712325,167,2026-05-15 18:50:24,1
block_projected_s1,n3pf_ms_block_projected_seed1,52080,-5.447959,28,2026-05-15 18:50:25,1
block_projected_s1,n3pf_ms_block_projected_seed1,52296,33.143068,181,2026-05-15 18:50:25,1
block_projected_s1,n3pf_ms_block_projected_seed1,52404,14.180508,166,2026-05-15 18:50:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,52448,14.444558,130,2026-05-15 18:50:26,1
block_projected_s1,n3pf_ms_block_projected_seed1,52784,12.612596,176,2026-05-15 18:50:27,1
block_projected_s1,n3pf_ms_block_projected_seed1,52992,14.858603,147,2026-05-15 18:50:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,53032,32.781565,184,2026-05-15 18:50:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,53092,13.694334,161,2026-05-15 18:50:28,1
block_projected_s1,n3pf_ms_block_projected_seed1,53408,15.108944,156,2026-05-15 18:50:31,1
block_projected_s1,n3pf_ms_block_projected_seed1,53412,8.456578,95,2026-05-15 18:50:31,1
block_projected_s1,n3pf_ms_block_projected_seed1,53660,14.179784,167,2026-05-15 18:50:32,1
block_projected_s1,n3pf_ms_block_projected_seed1,53760,13.374006,167,2026-05-15 18:50:32,1
block_projected_s1,n3pf_ms_block_projected_seed1,53868,-4.066454,27,2026-05-15 18:50:33,1
block_projected_s1,n3pf_ms_block_projected_seed1,54100,13.333605,172,2026-05-15 18:50:34,1
block_projected_s1,n3pf_ms_block_projected_seed1,54128,11.72899,180,2026-05-15 18:50:34,1
block_projected_s1,n3pf_ms_block_projected_seed1,54316,33.652725,164,2026-05-15 18:50:34,1
block_projected_s1,n3pf_ms_block_projected_seed1,54464,4.698744,91,2026-05-15 18:50:35,1
