training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,linear,medium,226,0.3053097345132743,0.38495575221238937,2.9606040880260207,1.7454752004743073,1.4807552014831948,0.14482077839990368,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,sinusoidal_lateral,high,731,0.36662106703146374,0.4021887824897401,2.5902653194832705,2.0970109732329036,1.5405806588409048,0.13517160045056922,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,sinusoidal_lateral,low,130,0.3,0.3384615384615385,2.2715106066029804,1.6315429846458698,1.6354432005148667,0.06717466305081661,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,sinusoidal_lateral,medium,396,0.19444444444444445,0.21464646464646464,3.2377528144549954,1.7276643255926052,1.5782061676786403,0.11574992376633665,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,accel_decel,high,438,0.3515981735159817,0.410958904109589,2.4814017905373142,1.874774348023132,1.5134490257528819,0.11257583414072588,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,accel_decel,low,259,0.20077220077220076,0.21621621621621623,2.842943974396638,1.9415863245605927,1.5316063188678049,0.09945644507666468,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,accel_decel,medium,551,0.35208711433756806,0.397459165154265,2.428053890416203,2.296679558560896,1.509231312305222,0.14880384701201033,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,ar1_velocity,high,411,0.45012165450121655,0.5036496350364964,2.3410279899631647,2.5467272382713597,1.5056418893981154,0.1355693812488857,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,ar1_velocity,low,303,0.1848184818481848,0.23432343234323433,3.455357989400822,1.7189841561957349,1.5196531159256157,0.09787927715495082,0.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,ar1_velocity,medium,428,0.2570093457943925,0.29439252336448596,3.177574161956387,1.722586425161312,1.5276903849895869,0.13001875269061355,0.0,nan
