repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
reference,n1_train_raw,history_rel_vel,1,3897658,0,0,-0.012093361472567255,1.0251959945953824,-2.4983434677124023,2.499234914779663,-2.17728853225708,-1.6182470321655273,-0.08915913105010986,1.5909366607666016,2.1611859798431396,train_flow_mixed
reference,n1_train_raw,history_rel_vel,2,3897658,0,0,-4.282947184499335e-05,0.10597449047722378,-1.5756460428237915,1.4058640003204346,-0.37970787286758423,-0.13773563504219055,0.0,0.14092311263084412,0.38499018937349566,train_flow_mixed
reference,n1_train_raw,history_valid_mask,0,4579140,0,0,0.8511768585367558,0.35591405427189216,0.0,1.0,0.0,0.0,1.0,1.0,1.0,train_flow_mixed
before_fix,online_raw_active,ego_current,0,100,0,0,-0.9091781228780746,0.2332410051815437,-0.9999738335609436,0.0,-0.9999738335609436,-0.9999735504388809,-0.9994330406188965,-0.5231238991022126,0.0,
before_fix,online_raw_active,ego_current,1,100,0,0,0.006549303047358989,0.0016801614458594447,0.0,0.00720335403457284,0.0,0.0037683453643694528,0.007199458312243223,0.007203352265059948,0.00720335403457284,
before_fix,online_raw_active,ego_current,2,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_raw_active,ego_current,3,100,0,0,-0.9999740481376648,2.9200193199910855e-08,-0.9999740719795227,-0.9999740123748779,-0.9999740719795227,-0.9999740719795227,-0.9999740719795227,-0.9999740123748779,-0.9999740123748779,
before_fix,online_raw_active,ego_current,4,100,0,0,0.00720335547812283,6.731987136789114e-10,0.007203354500234127,0.007203357294201851,0.007203354500234127,0.007203354500234127,0.007203355431556702,0.007203356409445405,0.007203357294201851,
before_fix,online_raw_active,ego_current,5,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_raw_active,ego_current,6,100,0,0,0.8969659835100174,0.06654894462578362,0.7860758304595947,1.0,0.7860758304595947,0.7972519040107727,0.8978323638439178,0.9938457190990447,1.0,
before_fix,online_raw_active,ego_current,7,100,0,0,-0.9499753475189209,0.21793929150999697,-0.9999740719795227,0.0,-0.9999740719795227,-0.9999740719795227,-0.9999740719795227,-0.9499753117561369,0.0,
before_fix,online_raw_active,ego_current,8,100,0,0,0.00684318772982806,0.0015699349350526677,0.0,0.007203357294201851,0.0,0.006843186775222422,0.007203355431556702,0.007203356409445405,0.007203357294201851,
before_fix,online_raw_active,ego_current,9,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_raw_active,obs_current,0,100,0,0,-0.41892241306602956,0.20029873077927693,-0.9133700132369995,-0.020958900451660156,-0.8597784042358398,-0.7127671629190445,-0.4131307005882263,-0.09556414559483528,-0.04680169396102415,
before_fix,online_raw_active,obs_current,1,100,0,0,-0.04589494844898581,0.3160287290183357,-0.6053730249404907,0.6253081560134888,-0.523865864276886,-0.4705037072300911,-0.14097213000059128,0.43254912197589873,0.5372059583663945,
before_fix,online_raw_active,obs_current,2,100,0,0,0.00046996637189295143,0.015126631196801181,-0.02861959859728813,0.02394421026110649,-0.02703616186976433,-0.02211683476343751,-0.0021327496506273746,0.02394421026110649,0.02394421026110649,
before_fix,online_raw_active,obs_current,3,100,0,0,0.6058745830412954,0.21510710711233327,-0.18202954530715942,1.0474352836608887,-0.022815493885427716,0.2055680548772216,0.6775505840778351,0.8723098725080489,0.9983365893363955,
before_fix,online_raw_active,obs_current,4,100,0,0,0.2609487998113036,0.3589990545287706,-0.7156950831413269,0.7422752380371094,-0.40487522810697557,-0.30018829107284545,0.4669063240289688,0.6967408448457718,0.6972795295715334,
before_fix,online_raw_active,obs_current,5,100,0,0,-0.00018531075940700248,0.01079212449779496,-0.060936108231544495,0.023008115589618683,-0.029271137323230504,-0.013568475842475891,0.0,0.010344523005187511,0.010471159853041237,
before_fix,online_raw_active,obs_current,6,100,0,0,0.29811267770826816,0.11738331896124164,0.10965226590633392,0.790310263633728,0.10965226590633392,0.10965226590633392,0.31106093525886536,0.40935720354318617,0.7427936488389971,
before_fix,online_raw_active,obs_current,7,100,0,0,0.27903123408555985,0.06993047658586765,0.19450131058692932,0.44318583607673645,0.19450131058692932,0.19450131058692932,0.2605181634426117,0.3619865864515304,0.41876300334930433,
before_fix,online_raw_active,obs_current,8,100,0,0,0.34542541470378635,0.14778855586828069,0.05821118876338005,0.6820468306541443,0.07279072713106871,0.11322132311761379,0.3357458561658859,0.5897110521793365,0.6670519787073136,
before_fix,online_raw_active,obs_current,9,100,0,0,0.6968900206685066,0.2164934018620169,-0.18443043529987335,1.0269099473953247,0.14386747151613236,0.3102932542562485,0.7269464731216431,0.9773919641971588,1.0234053087234498,
before_fix,online_raw_active,obs_current,10,100,0,0,0.645,0.24794152536434874,0.0,1.0,0.0,0.5,0.5,1.0,1.0,
before_fix,online_raw_active,obs_current,11,100,0,0,0.008648071736097336,0.05067638975737658,0.0,0.4178881347179413,0.0,0.0,0.0,0.0,0.2720926994085319,
before_fix,online_raw_active,history_valid_mask,0,2000,0,0,0.4335,0.49555801880304595,0.0,1.0,0.0,0.0,0.0,1.0,1.0,
before_fix,online_raw_active,history_rel_pos,0,867,0,0,-8.649236972219255,3.3832981065573016,-18.26740074157715,-0.4191780090332031,-14.20757007598877,-13.98027515411377,-8.34819221496582,-3.3374319076538086,-1.8877172470092773,
before_fix,online_raw_active,history_rel_pos,1,867,0,0,-1.6208222214532146,6.140518012332457,-12.107460975646973,12.506163597106934,-8.892300605773926,-8.555676460266113,-4.279414176940918,8.599974632263184,8.6746187210083,
before_fix,online_raw_active,history_rel_pos,2,867,0,0,-0.0014407373492143008,0.08581866317776185,-0.14309799671173096,0.11972105503082275,-0.1351008415222168,-0.12268733978271484,-0.02766239643096924,0.11972105503082275,0.11972105503082275,
