method_key,method,steps,episode_reward,episode_length,wall_time,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25168,31.16216,218,2026-05-16 11:45:15,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25280,13.100979,169,2026-05-16 11:45:16,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25464,7.81251,233,2026-05-16 11:45:16,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25904,10.916095,202,2026-05-16 11:45:18,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,25980,12.689138,175,2026-05-16 11:45:18,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26076,9.308287,227,2026-05-16 11:45:19,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26164,34.466491,175,2026-05-16 11:45:19,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26204,-3.721083,32,2026-05-16 11:45:19,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26280,-4.373859,29,2026-05-16 11:45:19,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26748,10.639157,192,2026-05-16 11:45:21,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26772,11.238001,217,2026-05-16 11:45:21,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,26956,9.815173,188,2026-05-16 11:45:22,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27036,12.396706,189,2026-05-16 11:45:22,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27288,-1.637335,83,2026-05-16 11:45:23,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27608,10.898982,215,2026-05-16 11:45:24,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27644,9.444174,218,2026-05-16 11:45:24,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27788,12.609683,188,2026-05-16 11:45:25,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,27956,14.579997,167,2026-05-16 11:45:25,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28280,14.026968,159,2026-05-16 11:45:27,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28332,12.457383,181,2026-05-16 11:45:27,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28452,13.916524,166,2026-05-16 11:45:27,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28552,-5.19407,25,2026-05-16 11:45:28,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28680,11.437178,181,2026-05-16 11:45:30,seed2_rerunA,2
